season,gw,movement,player_id,web_name,position,team,season_minutes,recent4_minutes,ctrl_p_start,ctrl_mu,treat_mu,mu_delta,had_prior_strength,new_club,actual_minutes,blank,actual_points
2022-23,13,left,484,Kilman,DEF,Wolves,990,360,0.72,2.516,2.4928,-0.0232,1,0,90.0,0,0
2022-23,13,left,39,Mings,DEF,Aston Villa,810,360,0.72,2.4232,2.484,0.0608,1,0,90.0,0,10
2022-23,13,left,461,Zouma,DEF,West Ham,900,270,0.72,2.546,2.5424,-0.0036,1,0,90.0,0,15
2022-23,13,left,475,Coady,DEF,Everton,890,360,0.72,2.5704,2.1212,-0.4492,1,1,90.0,0,6
2022-23,13,left,538,Young,DEF,Aston Villa,514,360,0.72,2.6616,2.6424,-0.0192,1,0,90.0,0,6
2022-23,13,left,283,Salah,MID,Liverpool,877,337,0.72,3.0256,4.0188,0.9932,1,1,90.0,0,2
2022-23,13,left,478,Sá,GKP,Wolves,990,360,0.85,3.5908,3.5336,-0.0572,1,0,90.0,0,0
2022-23,13,entered,680,Gakpo,MID,Liverpool,0,0,0.72,2.4996,3.3784,0.8788,1,1,0.0,1,
2022-23,13,entered,169,Eze,MID,Crystal Palace,821,342,0.72,2.4812,2.6568,0.1756,1,0,90.0,0,2
2022-23,13,entered,141,Chalobah,DEF,Chelsea,360,270,0.72,2.2536,2.746,0.4924,1,0,90.0,0,2
2022-23,13,entered,16,Gabriel,DEF,Arsenal,900,270,0.72,2.2996,2.7244,0.4248,1,0,90.0,0,2
2022-23,13,entered,432,Davies,DEF,Spurs,715,270,0.72,2.268,2.8516,0.5836,1,1,9.0,0,1
2022-23,13,entered,307,Ederson,GKP,Man City,900,270,0.85,2.724,3.9996,1.2756,1,1,90.0,0,5
2022-23,13,entered,280,Van Dijk,DEF,Liverpool,900,360,0.72,2.1088,3.1704,1.0616,1,1,90.0,0,2
2022-23,14,left,576,Senesi,DEF,Bournemouth,671,346,0.72,2.6296,2.1788,-0.4508,0,1,90.0,0,1
2022-23,14,left,258,Castagne,DEF,Leicester,921,336,0.72,2.7516,1.5316,-1.22,1,1,90.0,0,2
2022-23,14,left,357,Trippier,DEF,Newcastle,1065,353,0.72,2.8148,2.4548,-0.36,1,1,90.0,0,11
2022-23,14,left,427,Kane,FWD,Spurs,1066,359,0.72,2.7452,2.9112,0.166,1,1,90.0,0,1
2022-23,14,left,342,Dalot,DEF,Man Utd,985,360,0.72,2.5944,2.2584,-0.336,1,1,90.0,0,9
2022-23,14,left,279,Firmino,FWD,Liverpool,691,274,0.72,2.978,3.85,0.872,1,1,90.0,0,2
2022-23,14,entered,288,Diogo Jota,FWD,Liverpool,195,170,0.72,2.6064,4.0632,1.4568,1,1,0.0,1,0
2022-23,14,entered,165,Andersen,DEF,Crystal Palace,900,360,0.72,2.212,2.5876,0.3756,1,0,90.0,0,6
2022-23,14,entered,617,Aubameyang,FWD,Chelsea,213,139,0.72,2.4052,2.6624,0.2572,1,1,27.0,0,1
2022-23,14,entered,301,De Bruyne,MID,Man City,860,249,0.48,2.2916,3.1476,0.856,1,1,90.0,0,11
2022-23,14,entered,141,Chalobah,DEF,Chelsea,450,360,0.72,1.9604,2.8636,0.9032,1,0,90.0,0,-2
2022-23,14,entered,127,Azpilicueta,DEF,Chelsea,536,315,0.72,2.3736,3.2028,0.8292,1,0,0.0,1,0
2022-23,15,left,357,Trippier,DEF,Newcastle,1155,360,0.72,2.562,2.5332,-0.0288,1,1,79.0,0,12
2022-23,15,left,427,Kane,FWD,Spurs,1156,360,0.72,2.6788,2.5276,-0.1512,1,1,90.0,0,8
2022-23,15,left,428,Son,MID,Spurs,1030,360,0.72,2.8372,2.4184,-0.4188,1,1,0.0,1,0
2022-23,15,left,461,Zouma,DEF,West Ham,1080,270,0.72,2.5952,2.6224,0.0272,1,0,90.0,0,1
2022-23,15,left,182,Pickford,GKP,Everton,1080,360,0.85,3.5588,2.8512,-0.7076,1,0,90.0,0,3
2022-23,15,left,475,Coady,DEF,Everton,1070,360,0.72,2.5244,1.876,-0.6484,1,1,90.0,0,1
2022-23,15,entered,484,Kilman,DEF,Wolves,1170,360,0.72,2.4944,2.9832,0.4888,1,0,90.0,0,1
2022-23,15,entered,680,Gakpo,MID,Liverpool,0,0,0.72,2.5708,3.0232,0.4524,1,1,0.0,1,
2022-23,15,entered,617,Aubameyang,FWD,Chelsea,240,166,0.72,2.488,2.9284,0.4404,1,1,63.0,0,1
2022-23,15,entered,106,Dunk,DEF,Brighton,1080,360,0.72,2.222,2.8452,0.6232,1,1,90.0,0,1
2022-23,15,entered,307,Ederson,GKP,Man City,1080,270,0.85,2.8892,4.028,1.1388,1,1,90.0,0,2
2022-23,15,entered,283,Salah,MID,Liverpool,1057,359,0.72,2.7364,3.2264,0.49,1,1,90.0,0,15
2022-23,16,left,2,Leno,GKP,Fulham,1080,360,0.85,3.7956,3.6236,-0.172,0,1,90.0,0,5
2022-23,16,left,516,Collins,DEF,Wolves,932,360,0.72,2.5896,2.5232,-0.0664,1,1,90.0,0,1
2022-23,16,left,357,Trippier,DEF,Newcastle,1234,349,0.72,2.9356,2.0152,-0.9204,1,1,90.0,0,7
2022-23,16,left,614,Willian,MID,Fulham,473,329,0.72,2.7236,2.7216,-0.002,0,1,90.0,0,2
2022-23,16,left,461,Zouma,DEF,West Ham,1170,360,0.72,2.5476,2.29,-0.2576,1,0,14.0,0,1
2022-23,16,left,279,Firmino,FWD,Liverpool,854,318,0.72,2.7156,3.4736,0.758,1,1,74.0,0,6
2022-23,16,left,377,Botman,DEF,Newcastle,971,340,0.72,2.5144,1.5032,-1.0112,1,1,86.0,0,7
2022-23,16,left,283,Salah,MID,Liverpool,1147,360,0.72,3.0604,4.5236,1.4632,1,1,90.0,0,2
2022-23,16,entered,128,Thiago Silva,DEF,Chelsea,990,270,0.72,2.338,3.2228,0.8848,1,0,83.0,0,2
2022-23,16,entered,288,Diogo Jota,FWD,Liverpool,195,0,0.72,2.618,4.01,1.392,1,1,0.0,1,0
2022-23,16,entered,432,Davies,DEF,Spurs,904,279,0.72,2.1924,2.8824,0.69,1,1,90.0,0,7
2022-23,16,entered,690,João Félix,FWD,Chelsea,0,0,0.72,2.2336,2.8824,0.6488,1,1,0.0,1,
2022-23,16,entered,307,Ederson,GKP,Man City,1170,270,0.85,2.858,4.03,1.172,1,1,90.0,0,2
2022-23,16,entered,311,Bernardo,MID,Man City,977,270,0.72,2.4008,3.0792,0.6784,1,1,90.0,0,2
2022-23,16,entered,286,Gomez,DEF,Liverpool,795,273,0.72,2.5112,3.6512,1.14,1,1,90.0,0,2
2022-23,16,entered,127,Azpilicueta,DEF,Chelsea,626,270,0.72,2.1796,3.0764,0.8968,1,0,45.0,0,1
2022-23,17,left,257,Amartey,DEF,Leicester,913,360,0.72,2.6188,2.6312,0.0124,1,1,90.0,0,1
2022-23,17,left,357,Trippier,DEF,Newcastle,1324,349,0.72,2.5864,2.0184,-0.568,1,1,90.0,0,12
2022-23,17,left,519,Eriksen,MID,Man Utd,1043,337,0.72,2.5432,2.5672,0.024,1,1,76.0,0,5
2022-23,17,left,81,Raya,GKP,Brentford,1350,360,0.85,3.702,3.0656,-0.6364,1,1,90.0,0,3
2022-23,17,left,342,Dalot,DEF,Man Utd,1165,270,0.72,2.7148,2.5652,-0.1496,1,1,0.0,1,0
2022-23,17,left,279,Firmino,FWD,Liverpool,928,312,0.72,2.6368,3.0872,0.4504,1,1,0.0,1,0
2022-23,17,entered,680,Gakpo,MID,Liverpool,0,0,0.72,2.4988,3.4308,0.932,1,1,0.0,1,
2022-23,17,entered,300,Gündogan,MID,Man City,890,270,0.72,2.332,3.4956,1.1636,1,1,90.0,0,2
2022-23,17,entered,141,Chalobah,DEF,Chelsea,720,360,0.72,2.1576,2.8704,0.7128,1,0,2.0,0,1
2022-23,17,entered,302,Stones,DEF,Man City,730,270,0.72,2.198,3.5568,1.3588,1,1,90.0,0,2
2022-23,17,entered,690,João Félix,FWD,Chelsea,0,0,0.72,2.2952,2.7076,0.4124,1,1,0.0,1,
2022-23,17,entered,281,Alisson,GKP,Liverpool,1260,360,0.85,3.1972,4.2836,1.0864,1,1,90.0,0,3
2022-23,18,left,369,Almirón,MID,Newcastle,1337,337,0.72,2.56,2.6776,0.1176,1,1,83.0,0,3
2022-23,18,left,427,Kane,FWD,Spurs,1426,360,0.72,2.7028,2.9224,0.2196,1,1,90.0,0,2
2022-23,18,left,516,Collins,DEF,Wolves,1112,360,0.72,2.5416,2.6368,0.0952,1,1,90.0,0,2
2022-23,18,left,7,Ødegaard,MID,Arsenal,1166,356,0.72,2.7516,2.852,0.1004,1,0,86.0,0,13
2022-23,18,entered,448,Perišić,DEF,Spurs,917,297,0.72,2.5456,2.88,0.3344,1,1,87.0,0,1
2022-23,18,entered,288,Diogo Jota,FWD,Liverpool,195,0,0.72,2.5832,3.7924,1.2092,1,1,0.0,1,0
2022-23,18,entered,300,Gündogan,MID,Man City,980,360,0.72,2.5908,3.7548,1.164,1,1,3.0,0,1
2022-23,18,entered,302,Stones,DEF,Man City,820,360,0.72,2.4592,3.594,1.1348,1,1,90.0,0,2
2022-23,19,left,257,Amartey,DEF,Leicester,1093,360,0.72,2.5548,2.3252,-0.2296,1,1,90.0,0,2
2022-23,19,left,318,Haaland,FWD,Man City,1216,296,0.72,2.8732,3.1192,0.246,1,1,90.0,0,2
2022-23,19,entered,680,Gakpo,MID,Liverpool,0,0,0.72,2.6148,3.8404,1.2256,1,1,0.0,1,0
2022-23,19,entered,285,Alexander-Arnold,DEF,Liverpool,1151,339,0.72,2.4848,3.6608,1.176,1,1,90.0,0,5
2022-23,20,left,504,Malacia,DEF,Man Utd,746,270,0.72,4.6608,3.242,-1.4188,1,1,90.0,0,2
2022-23,20,left,428,Son,MID,Spurs,1300,270,0.72,5.1028,5.1072,0.0044,1,1,180.0,0,4
2022-23,20,entered,513,Lenglet,DEF,Spurs,835,321,0.72,4.6312,4.0756,-0.5556,1,1,99.0,0,1
2022-23,20,entered,427,Kane,FWD,Spurs,1606,360,0.72,4.9952,4.9872,-0.008,1,1,180.0,0,7
2022-23,21,left,2,Leno,GKP,Fulham,1620,450,0.85,3.9028,3.3452,-0.5576,0,1,90.0,0,2
2022-23,21,left,628,Aurier,DEF,Nott'm Forest,873,343,0.72,2.5804,2.5544,-0.026,0,1,74.0,0,2
2022-23,21,left,335,Rashford,MID,Man Utd,1526,400,0.72,2.8088,2.8132,0.0044,1,1,90.0,0,7
2022-23,21,entered,448,Perišić,DEF,Spurs,1171,344,0.72,2.3812,2.81,0.4288,1,1,90.0,0,6
2022-23,21,entered,603,Paquetá,MID,West Ham,928,340,0.72,2.5768,2.9872,0.4104,1,1,71.0,0,2
2022-23,21,entered,152,Guaita,GKP,Crystal Palace,1710,450,0.85,3.3232,3.7332,0.41,1,0,90.0,0,10
2022-23,22,left,222,Ayling,DEF,Leeds,518,339,0.72,4.3028,2.7892,-1.5136,1,1,180.0,0,3
2022-23,22,left,357,Trippier,DEF,Newcastle,1774,360,0.72,3.0948,2.456,-0.6388,1,1,90.0,0,2
2022-23,22,left,238,Meslier,GKP,Leeds,1710,360,0.85,5.8944,4.0632,-1.8312,1,1,180.0,0,4
2022-23,22,entered,128,Thiago Silva,DEF,Chelsea,1613,450,0.72,2.5872,3.2824,0.6952,1,0,90.0,0,6
2022-23,22,entered,285,Alexander-Arnold,DEF,Liverpool,1349,283,0.72,2.3972,3.9648,1.5676,1,1,90.0,0,1
2022-23,22,entered,133,Arrizabalaga,GKP,Chelsea,1035,450,0.85,3.9708,4.7304,0.7596,1,0,90.0,0,10
2022-23,23,left,2,Leno,GKP,Fulham,1800,450,0.85,3.7676,3.7724,0.0048,0,1,90.0,0,6
2022-23,23,left,301,De Bruyne,MID,Man City,1597,287,0.72,5.852,7.6988,1.8468,1,1,176.0,0,15
2022-23,23,left,124,Mitoma,MID,Brighton,834,346,0.72,2.76,2.6956,-0.0644,1,1,90.0,0,2
2022-23,23,left,357,Trippier,DEF,Newcastle,1864,360,0.72,2.8092,2.3844,-0.4248,1,1,90.0,0,2
2022-23,23,entered,288,Diogo Jota,FWD,Liverpool,195,0,0.72,2.5116,4.0488,1.5372,1,1,20.0,0,1
2022-23,23,entered,281,Alisson,GKP,Liverpool,1800,360,0.85,3.554,4.8656,1.3116,1,1,90.0,0,6
2022-23,23,entered,699,Mudryk,MID,Chelsea,80,80,0.72,2.496,3.0028,0.5068,1,1,66.0,0,2
2022-23,23,entered,302,Stones,DEF,Man City,1180,270,0.72,5.132,6.9892,1.8572,1,1,0.0,1,0
2022-23,24,left,357,Trippier,DEF,Newcastle,1954,360,0.72,3.0796,1.7412,-1.3384,1,1,63.0,0,1
2022-23,24,left,7,Ødegaard,MID,Arsenal,1778,436,0.72,2.7904,2.9688,0.1784,1,0,90.0,0,8
2022-23,24,left,427,Kane,FWD,Spurs,2056,450,0.82,3.1252,3.44,0.3148,1,1,90.0,0,5
2022-23,24,left,333,Fernandes,MID,Man Utd,1979,540,0.72,2.806,3.0484,0.2424,1,1,90.0,0,12
2022-23,24,left,92,Pinnock,DEF,Brentford,1260,360,0.72,2.6452,2.5128,-0.1324,1,1,90.0,0,2
