season,e024_gate,gw,position,entrant_id,entrant_name,leaver_id,leaver_name,delta_mc,delta_u,dpts,both60,tie_pts,mc_pref_enter,u_pref_enter,actual_pref_enter,ctrl_mu_gap,gap_bucket,v_ctrl,v_swap
2022-23,FAIL,21,MID,171,Olise,283,Salah,-0.2147,-0.244,-3.0,0,0,0,0,0,0.5188,mid,32.8252,32.6104
2022-23,FAIL,21,MID,278,Chamberlain,680,Gakpo,0.1236,0.1404,-3.0,0,0,1,1,0,0.66,mid,32.8252,32.9487
2022-23,FAIL,21,MID,278,Chamberlain,283,Salah,-0.1067,-0.1212,-3.0,0,0,0,0,0,0.7444,mid,32.8252,32.7185
2022-23,FAIL,22,DEF,92,Pinnock,448,Perišić,0.0024,0.0196,1.0,1,0,1,1,1,0.008,near,44.1048,44.1071
2022-23,FAIL,22,MID,135,Ziyech,699,Mudryk,0.2165,0.4308,0.0,0,1,1,1,0,0.4452,mid,44.1048,44.3212
2022-23,FAIL,22,MID,135,Ziyech,7,Ødegaard,0.1908,0.2168,-1.0,0,0,1,1,0,0.6112,mid,44.1048,44.2955
2022-23,FAIL,23,DEF,257,Amartey,73,Kelly,-0.014,-0.1164,0.0,0,1,0,0,0,0.0844,near,50.169,50.155
2022-23,FAIL,23,DEF,257,Amartey,16,Gabriel,-2.2472,-2.7232,-3.0,0,0,0,0,0,2.6912,large,50.169,47.9219
2022-23,FAIL,23,DEF,257,Amartey,470,Diop,-0.0236,-0.1964,-6.0,0,0,0,0,0,0.1644,near,50.169,50.1454
2022-23,FAIL,23,DEF,463,Coufal,73,Kelly,-0.0229,-0.1912,1.0,0,0,0,0,1,0.2456,near,50.169,50.1461
2022-23,FAIL,23,DEF,463,Coufal,16,Gabriel,-2.2561,-2.798,-2.0,1,0,0,0,0,2.8524,large,50.169,47.9129
2022-23,FAIL,23,DEF,463,Coufal,470,Diop,-0.0325,-0.2712,-5.0,1,0,0,0,0,0.3256,mid,50.169,50.1365
2022-23,FAIL,23,DEF,222,Ayling,16,Gabriel,-1.9522,-2.2184,-2.0,1,0,0,0,0,2.5576,large,50.169,48.2168
2022-23,FAIL,23,MID,171,Olise,335,Rashford,-0.0542,-0.0616,-6.0,1,0,0,0,0,0.4016,mid,50.169,50.1148
2022-23,FAIL,24,MID,42,Buendía,7,Ødegaard,0.0598,0.068,-6.0,1,0,1,1,0,0.2148,near,31.5351,31.5949
2022-23,FAIL,24,MID,42,Buendía,333,Fernandes,0.0461,0.0524,-10.0,1,0,1,1,0,0.2304,near,31.5351,31.5812
