season,e024_gate,candidate,gw,class,gap_bucket,n_enter,n_exit,n_pos_touched,xi0_ctrl,xi0_cand,xi0_worse_gw,enter_id,enter_name,enter_pos,enter_ctrl_mu,enter_cand_mu,enter_ctrl_p60,enter_mins,enter_pts,exit_id,exit_name,exit_pos,exit_ctrl_mu,exit_mins,exit_pts,abs_d_ctrl,blank_enter,primary_harm,paired
2022-23,FAIL,v1_adxg,28,BUDGET_FLEX,,3,3,4,0,0,0,92,Pinnock,DEF,2.6968,2.712,0.6736,90.0,2.0,,,,,,,,0,0,0
2022-23,FAIL,v1_adxg,28,BUDGET_FLEX,near,3,3,4,0,0,0,133,Arrizabalaga,GKP,3.7284,3.8216,0.7915,90.0,1.0,81,Raya,GKP,3.7984,90.0,2.0,0.07,0,0,1
2022-23,FAIL,v1_adxg,28,BUDGET_FLEX,near,3,3,4,0,0,0,690,João Félix,FWD,2.732,2.9592,0.6759,85.0,8.0,40,Watkins,FWD,2.8996,90.0,5.0,0.1676,0,0,1
2022-23,FAIL,v1_adxg,29,NEAR_TIE,near,1,1,1,1,1,0,106,Dunk,DEF,5.0172,5.3092,0.7652,180.0,7.0,139,Chilwell,DEF,5.2136,167.0,9.0,0.1964,0,0,1
2022-23,FAIL,v1_adxg,30,BUDGET_FLEX,near,4,4,4,0,0,0,2,Leno,GKP,3.742,3.7012,0.791,90.0,3.0,81,Raya,GKP,3.804,90.0,0.0,0.062,0,0,1
2022-23,FAIL,v1_adxg,30,BUDGET_FLEX,near,4,4,4,0,0,0,280,Van Dijk,DEF,3.0684,3.0892,0.7652,90.0,0.0,85,Henry,DEF,2.9636,90.0,5.0,0.1048,0,0,1
2022-23,FAIL,v1_adxg,30,BUDGET_FLEX,near,4,4,4,0,0,0,301,De Bruyne,MID,3.412,3.6684,0.7652,90.0,9.0,283,Salah,MID,3.66,90.0,5.0,0.248,0,0,1
2022-23,FAIL,v1_adxg,30,BUDGET_FLEX,,4,4,4,0,0,0,594,Isak,FWD,3.0352,3.2248,0.6759,86.0,5.0,,,,,,,,0,0,0
2022-23,FAIL,v1_adxg,31,BUDGET_FLEX,near,5,5,4,1,0,0,81,Raya,GKP,3.3912,3.4752,0.7915,90.0,5.0,133,Arrizabalaga,GKP,3.4752,90.0,6.0,0.084,0,0,1
2022-23,FAIL,v1_adxg,31,BUDGET_FLEX,near,5,5,4,1,0,0,285,Alexander-Arnold,DEF,2.906,3.1992,0.7652,90.0,9.0,180,Keane,DEF,2.87,90.0,1.0,0.036,0,0,1
2022-23,FAIL,v1_adxg,31,BUDGET_FLEX,near,5,5,4,1,0,0,302,Stones,DEF,2.7216,3.0308,0.638,45.0,8.0,222,Ayling,DEF,2.7832,0.0,0.0,0.0616,0,0,1
2022-23,FAIL,v1_adxg,31,BUDGET_FLEX,near,5,5,4,1,0,0,407,Ward-Prowse,MID,3.1704,3.1748,0.7927,90.0,2.0,233,Harrison,MID,3.16,76.0,2.0,0.0104,0,0,1
2022-23,FAIL,v1_adxg,31,BUDGET_FLEX,mid,5,5,4,1,0,0,594,Isak,FWD,3.0168,3.1808,0.6759,90.0,2.0,427,Kane,FWD,3.5092,90.0,2.0,0.4924,0,0,1
2022-23,FAIL,v1_adxg,32,BUDGET_FLEX,,2,2,3,0,0,0,10,White,DEF,3.1336,3.4952,0.7652,90.0,4.0,,,,,,,,0,0,0
