season,e024_gate,candidate,gw,xi0_worse_gw,xi0_ctrl,xi0_cand,xi0_hold,cap_ctrl,cap_cand,cap_hold,oc_xi0_hold,oc_cap_hold,oc_xi0_ctrl,oc_cap_ctrl,pair_feasible,pair_reason,xi0_pair,cap_pair,oc_xi0_pair,oc_cap_pair
2023-24,PASS,v1_adxg,32,1,1,2,1,50.0,52.0,55.0,1,3.0,1,-2.0,1,ok,1,56.0,1,4.0
2023-24,PASS,v1_adxg,33,0,0,0,0,81.0,63.0,63.0,0,0.0,0,18.0,1,ok,0,81.0,0,18.0
2023-24,PASS,v1_adxg,34,0,0,0,0,104.0,103.0,103.0,0,0.0,0,1.0,1,ok,0,103.0,0,0.0
2023-24,PASS,v1_adxg,35,0,0,0,0,84.0,86.0,86.0,0,0.0,0,-2.0,0,primary_unpaired,,,,
2023-24,PASS,v1_adxg,36,1,0,1,1,92.0,95.0,95.0,0,0.0,1,-3.0,1,ok,1,99.0,0,4.0
2023-24,PASS,v1_adxg,37,0,0,0,0,95.0,119.0,119.0,0,0.0,0,-24.0,1,ok,0,119.0,0,0.0
2023-24,PASS,v1_adxg,38,0,0,0,0,55.0,47.0,47.0,0,0.0,0,8.0,1,ok,0,36.0,0,-11.0
2024-25,PASS,v1_adxg,1,1,1,2,2,51.0,58.0,58.0,0,0.0,1,-7.0,1,ok,2,55.0,0,-3.0
2024-25,PASS,v1_adxg,2,1,2,3,2,61.0,77.0,80.0,1,3.0,1,-16.0,1,ok,2,87.0,1,10.0
2024-25,PASS,v1_adxg,3,1,2,3,3,54.0,58.0,58.0,0,0.0,1,-4.0,1,ok,3,52.0,0,-6.0
2024-25,PASS,v1_adxg,5,0,2,1,1,61.0,77.0,77.0,0,0.0,-1,-16.0,1,ok,2,75.0,-1,-2.0
2024-25,PASS,v1_adxg,6,1,0,1,1,55.0,45.0,45.0,0,0.0,1,10.0,1,ok,1,54.0,0,9.0
2024-25,PASS,v1_adxg,7,0,1,1,1,57.0,46.0,46.0,0,0.0,0,11.0,1,ok,1,58.0,0,12.0
2024-25,PASS,v1_adxg,8,0,0,0,0,47.0,58.0,58.0,0,0.0,0,-11.0,1,ok,0,53.0,0,-5.0
2024-25,PASS,v1_adxg,9,0,0,0,0,49.0,63.0,63.0,0,0.0,0,-14.0,1,ok,0,62.0,0,-1.0
2024-25,PASS,v1_adxg,10,0,0,0,0,57.0,59.0,59.0,0,0.0,0,-2.0,1,ok,0,62.0,0,3.0
2024-25,PASS,v1_adxg,11,0,0,0,0,64.0,65.0,65.0,0,0.0,0,-1.0,1,ok,0,65.0,0,0.0
2024-25,PASS,v1_adxg,12,0,0,0,0,45.0,43.0,43.0,0,0.0,0,2.0,1,ok,0,43.0,0,0.0
2024-25,PASS,v1_adxg,14,0,1,0,0,65.0,68.0,68.0,0,0.0,-1,-3.0,1,ok,0,69.0,0,1.0
2024-25,PASS,v1_adxg,15,0,0,0,0,64.0,60.0,60.0,0,0.0,0,4.0,1,ok,0,59.0,0,-1.0
2024-25,PASS,v1_adxg,16,0,0,0,0,47.0,42.0,42.0,0,0.0,0,5.0,1,ok,0,40.0,0,-2.0
2024-25,PASS,v1_adxg,17,0,0,0,0,38.0,38.0,38.0,0,0.0,0,0.0,1,ok,0,35.0,0,-3.0
2024-25,PASS,v1_adxg,19,0,1,0,0,64.0,74.0,74.0,0,0.0,-1,-10.0,1,ok,0,65.0,0,-9.0
2024-25,PASS,v1_adxg,20,1,0,1,0,75.0,82.0,83.0,1,1.0,1,-7.0,1,ok,0,87.0,1,5.0
2024-25,PASS,v1_adxg,21,0,1,0,0,47.0,39.0,39.0,0,0.0,-1,8.0,1,ok,1,46.0,-1,7.0
2024-25,PASS,v1_adxg,22,0,0,0,0,38.0,38.0,38.0,0,0.0,0,0.0,1,ok,0,37.0,0,-1.0
2024-25,PASS,v1_adxg,23,1,0,1,0,65.0,65.0,67.0,1,2.0,1,0.0,1,ok,0,69.0,1,4.0
2024-25,PASS,v1_adxg,25,0,0,0,0,108.0,113.0,113.0,0,0.0,0,-5.0,1,ok,0,113.0,0,0.0
2024-25,PASS,v1_adxg,26,0,2,1,1,65.0,60.0,60.0,0,0.0,-1,5.0,1,ok,1,66.0,0,6.0
2024-25,PASS,v1_adxg,27,0,1,0,0,58.0,72.0,72.0,0,0.0,-1,-14.0,1,ok,1,60.0,-1,-12.0
2024-25,PASS,v1_adxg,28,0,0,0,0,60.0,69.0,69.0,0,0.0,0,-9.0,1,ok,0,67.0,0,-2.0
2024-25,PASS,v1_adxg,29,0,2,1,1,56.0,56.0,56.0,0,0.0,-1,0.0,1,ok,2,53.0,-1,-3.0
2024-25,PASS,v1_adxg,30,0,1,1,1,48.0,58.0,58.0,0,0.0,0,-10.0,1,ok,1,46.0,0,-12.0
2024-25,PASS,v1_adxg,31,0,0,0,0,41.0,50.0,50.0,0,0.0,0,-9.0,1,ok,0,45.0,0,-5.0
2024-25,PASS,v1_adxg,32,0,0,0,0,98.0,82.0,82.0,0,0.0,0,16.0,1,ok,0,83.0,0,1.0
2024-25,PASS,v1_adxg,33,0,0,0,0,94.0,93.0,93.0,0,0.0,0,1.0,1,ok,0,87.0,0,-6.0
2024-25,PASS,v1_adxg,34,0,0,0,0,58.0,63.0,63.0,0,0.0,0,-5.0,1,ok,0,59.0,0,-4.0
2024-25,PASS,v1_adxg,35,0,0,0,0,54.0,49.0,49.0,0,0.0,0,5.0,1,ok,0,49.0,0,0.0
2024-25,PASS,v1_adxg,36,0,1,0,0,33.0,45.0,45.0,0,0.0,-1,-12.0,1,ok,1,38.0,-1,-7.0
2024-25,PASS,v1_adxg,37,0,1,1,1,49.0,35.0,35.0,0,0.0,0,14.0,1,ok,2,34.0,-1,-1.0
