season,gw,movement,player_id,web_name,position,ctrl_p_start,ctrl_mu,treat_mu,mu_delta,had_club_prior,actual_minutes,blank,actual_points
2022-23,23,entered,446,Kulusevski,MID,0.72,2.6152,3.3008,0.6856,1,78.0,0,2
2022-23,23,entered,15,Ramsdale,GKP,0.85,6.2316,6.2316,0.0,1,180.0,0,3
2022-23,23,entered,470,Diop,DEF,0.72,2.5188,2.5188,0.0,0,90.0,0,6
2022-23,23,entered,222,Ayling,DEF,0.72,2.488,2.8272,0.3392,1,90.0,0,1
2022-23,24,left,92,Pinnock,DEF,0.72,2.6452,2.67,0.0248,1,90.0,0,2
2022-23,24,left,333,Fernandes,MID,0.72,2.806,2.806,0.0,1,90.0,0,12
2022-23,24,left,318,Haaland,FWD,0.72,2.976,2.976,0.0,0,90.0,0,2
2022-23,24,left,7,Ødegaard,MID,0.72,2.7904,2.7904,0.0,1,90.0,0,8
2022-23,24,entered,128,Thiago Silva,DEF,0.72,2.6776,2.6776,0.0,1,0.0,1,0
2022-23,24,entered,288,Diogo Jota,FWD,0.72,2.376,3.2436,0.8676,1,31.0,0,1
2022-23,24,entered,11,Nketiah,FWD,0.72,2.6724,3.188,0.5156,1,90.0,0,2
2022-23,24,entered,446,Kulusevski,MID,0.72,2.7056,3.4444,0.7388,1,89.0,0,3
2022-23,25,left,285,Alexander-Arnold,DEF,0.72,5.29,5.5112,0.2212,1,159.0,0,13
2022-23,25,entered,288,Diogo Jota,FWD,0.72,5.1048,6.9796,1.8748,1,145.0,0,7
2022-23,26,left,124,Mitoma,MID,0.72,2.9028,2.9028,0.0,0,82.0,0,13
2022-23,26,left,318,Haaland,FWD,0.72,3.25,3.25,0.0,0,90.0,0,4
2022-23,26,left,335,Rashford,MID,0.72,3.1072,3.1072,0.0,1,84.0,0,2
2022-23,26,entered,333,Fernandes,MID,0.82,3.2048,3.2048,0.0,1,90.0,0,2
2022-23,26,entered,262,Iheanacho,FWD,0.72,2.7828,3.58,0.7972,1,90.0,0,2
2022-23,26,entered,303,Mahrez,MID,0.48,2.4884,3.3048,0.8164,1,0.0,1,0
2022-23,27,left,170,Mitchell,DEF,0.72,4.2892,4.282,-0.0072,1,180.0,0,4
2022-23,27,left,95,Mbeumo,FWD,0.68,4.0332,4.0332,0.0,1,167.0,0,4
2022-23,27,entered,92,Pinnock,DEF,0.72,4.3908,4.4464,0.0556,1,180.0,0,8
2022-23,27,entered,262,Iheanacho,FWD,0.72,3.0412,3.9,0.8588,1,75.0,0,2
2022-23,29,left,40,Watkins,FWD,0.82,5.5528,5.5528,0.0,1,180.0,0,17
2022-23,29,left,628,Aurier,DEF,0.72,5.0752,5.0752,0.0,0,0.0,1,0
2022-23,29,entered,256,Ricardo,DEF,0.72,4.1736,5.6072,1.4336,1,50.0,0,8
2022-23,29,entered,464,Benrahma,MID,0.68,5.206,5.7232,0.5172,1,152.0,0,5
2022-23,30,left,280,Van Dijk,DEF,0.82,3.0684,3.0684,0.0,1,90.0,0,0
2022-23,30,left,355,Dubravka,GKP,0.85,3.7688,3.6924,-0.0764,1,0.0,1,0
2022-23,30,left,116,Mac Allister,MID,0.82,3.0752,3.0752,0.0,1,90.0,0,2
2022-23,30,entered,256,Ricardo,DEF,0.72,2.3996,3.2252,0.8256,1,57.0,0,1
2022-23,30,entered,81,Raya,GKP,0.85,3.804,3.804,0.0,1,90.0,0,0
2022-23,30,entered,124,Mitoma,MID,0.72,3.0768,3.0768,0.0,0,90.0,0,2
2022-23,32,left,40,Watkins,FWD,0.82,3.1336,3.1336,0.0,1,90.0,0,2
2022-23,32,entered,288,Diogo Jota,FWD,0.72,2.7664,3.4488,0.6824,1,80.0,0,13
2022-23,33,left,427,Kane,FWD,0.85,3.5608,3.5608,0.0,1,90.0,0,11
2022-23,33,left,39,Mings,DEF,0.82,2.81,2.81,0.0,1,90.0,0,15
2022-23,33,entered,288,Diogo Jota,FWD,0.72,2.9168,3.5068,0.59,1,58.0,0,1
2022-23,33,entered,285,Alexander-Arnold,DEF,0.82,3.0072,3.0072,0.0,1,90.0,0,5
2022-23,35,left,427,Kane,FWD,0.85,3.7448,3.7448,0.0,1,90.0,0,8
2022-23,35,left,124,Mitoma,MID,0.72,3.5292,3.5292,0.0,0,90.0,0,5
