season,e024_gate,gw,position,entrant_id,entrant_name,leaver_id,leaver_name,delta_v,delta_u,dpts,both60,tie_pts,v_pref_enter,u_pref_enter,actual_pref_enter,sign_disagree,n_feasible,best_y_feasible,regret_entrant,v_ctrl,v_swap,fixture_pairs_ctrl,fixture_pairs_swap
2022-23,FAIL,15,DEF,39,Mings,475,Coady,0.3936,-0.1064,0.0,1,1,1,0,0,1,24,15.0,14.0,28.4908,28.8844,5.0,4.0
2022-23,FAIL,15,DEF,141,Chalobah,475,Coady,-0.1452,-0.1452,0.0,1,1,0,0,0,0,24,15.0,14.0,28.4908,28.3456,5.0,5.0
2022-23,FAIL,15,DEF,538,Young,516,Collins,-0.2032,-0.2032,1.0,0,0,0,0,1,0,18,7.0,6.0,28.4908,28.2876,5.0,5.0
2022-23,FAIL,15,DEF,538,Young,461,Zouma,-0.1292,-0.1292,0.0,0,1,0,0,0,0,18,7.0,6.0,28.4908,28.3616,5.0,5.0
2022-23,FAIL,15,DEF,538,Young,475,Coady,0.4416,-0.0584,0.0,0,1,1,0,0,1,24,15.0,14.0,28.4908,28.9324,5.0,4.0
2022-23,FAIL,16,MID,464,Benrahma,680,Gakpo,0.4544,-0.6432,2.0,0,0,1,0,1,1,21,11.0,9.0,29.436,29.8904,5.0,3.0
2022-23,FAIL,16,MID,464,Benrahma,614,Willian,0.0048,-0.5928,0.0,1,1,1,0,0,1,14,11.0,9.0,29.436,29.4408,5.0,4.0
2022-23,FAIL,16,MID,374,Bruno Guimarães,680,Gakpo,0.4544,-0.5888,3.0,0,0,1,0,1,1,21,11.0,8.0,29.436,29.8904,5.0,3.0
2022-23,FAIL,16,MID,374,Bruno Guimarães,614,Willian,0.0048,-0.5384,1.0,1,0,1,0,1,1,14,11.0,8.0,29.436,29.4408,5.0,4.0
2022-23,FAIL,17,DEF,16,Gabriel,342,Dalot,-0.1768,-0.1768,2.0,0,0,0,0,1,0,23,7.0,5.0,28.1332,27.9564,5.0,5.0
2022-23,FAIL,17,DEF,141,Chalobah,257,Amartey,0.9092,-0.4612,0.0,0,1,1,0,0,1,21,7.0,6.0,28.1332,29.0424,5.0,3.0
2022-23,FAIL,17,DEF,141,Chalobah,342,Dalot,0.3132,-0.5572,1.0,0,0,1,0,1,1,23,7.0,6.0,28.1332,28.4464,5.0,4.0
2022-23,FAIL,17,MID,42,Buendía,614,Willian,0.0,-0.1444,-4.0,1,0,0,0,0,0,16,8.0,6.0,28.1332,28.1332,5.0,5.0
2022-23,FAIL,17,MID,42,Buendía,519,Eriksen,0.4848,-0.1596,-3.0,1,0,1,0,0,1,18,14.0,12.0,28.1332,28.618,5.0,4.0
2022-23,FAIL,17,MID,171,Olise,614,Willian,0.0,-0.214,-4.0,1,0,0,0,0,0,16,8.0,6.0,28.1332,28.1332,5.0,5.0
2022-23,FAIL,17,MID,171,Olise,519,Eriksen,0.4848,-0.2292,-3.0,1,0,1,0,0,1,18,14.0,12.0,28.1332,28.618,5.0,4.0
2022-23,FAIL,18,FWD,288,Diogo Jota,427,Kane,-0.6196,-0.1196,-2.0,0,0,0,0,0,0,24,8.0,8.0,29.9444,29.3248,4.0,5.0
2022-23,FAIL,18,MID,300,Gündogan,680,Gakpo,-0.1984,-0.1984,1.0,0,0,0,0,1,0,22,12.0,11.0,29.9444,29.746,4.0,4.0
2022-23,FAIL,18,MID,464,Benrahma,680,Gakpo,-0.3016,-0.5448,2.0,0,0,0,0,1,0,22,12.0,10.0,29.9444,29.6428,4.0,4.0
2022-23,FAIL,18,MID,464,Benrahma,369,Almirón,-0.0724,-0.3156,-1.0,1,0,0,0,0,0,16,12.0,10.0,29.9444,29.872,4.0,4.0
2022-23,FAIL,19,GKP,518,Hennessey,81,Raya,0.0,-0.638,-3.0,0,0,0,0,0,0,12,3.0,3.0,29.1392,29.1392,31.0,31.0
2022-23,FAIL,20,DEF,595,Zanka,302,Stones,2.2416,-2.6752,0.0,0,1,1,0,0,1,14,8.0,7.0,36.6128,38.8544,44.0,35.0
2022-23,FAIL,20,DEF,595,Zanka,628,Aurier,0.0,-0.4168,-7.0,0,0,0,0,0,0,7,7.0,6.0,36.6128,36.6128,44.0,44.0
