season,gw,player_id,web_name,mu0,ep_next,mu1,blended,identity_reason
2022-23,9,34,Traoré,0.0,0.0,0.0,1,
2022-23,9,35,Olsen,0.1636,0.0,0.10634,1,
2022-23,9,36,Sanson,0.8512,0.0,0.55328,1,
2022-23,9,37,McGinn,0.7588,2.5,1.36822,1,
2022-23,9,38,Hause,0.0,0.0,0.0,1,
2022-23,9,39,Mings,2.3444,5.5,3.44886,1,
2022-23,10,3,Xhaka,2.1452,6.5,3.66938,1,
2022-23,10,4,Elneny,0.0,0.0,0.0,1,
2022-23,10,5,Holding,0.5576,-0.5,0.18744,1,
2022-23,10,6,Partey,0.8604,6.0,2.65926,1,
2022-23,10,7,Ødegaard,1.3092,0.5,1.02598,1,
2022-23,10,8,Tierney,0.722,3.0,1.5193,1,
2022-23,10,9,Pépé,0.0,0.0,0.0,1,
2022-23,10,10,White,0.9012,5.0,2.33578,1,
2022-23,10,11,Nketiah,1.5072,0.5,1.15468,1,
2022-23,10,12,Smith Rowe,0.0,0.0,0.0,1,
2022-23,10,13,Saka,2.4068,5.0,3.31442,1,
2022-23,10,14,Tomiyasu,0.5072,0.5,0.50468,1,
2022-23,10,15,Ramsdale,2.8468,3.5,3.07542,1,
2022-23,10,16,Gabriel,2.5744,3.5,2.89836,1,
2022-23,10,17,Tavares,0.0,0.0,0.0,1,
2022-23,10,19,Martinelli,1.1512,3.0,1.79828,1,
2022-23,10,20,Pablo Marí,0.0,0.0,0.0,1,
2022-23,10,22,Torreira,0.0,0.0,0.0,1,
2022-23,10,23,Nelson,0.7108,-0.5,0.28702,1,
2022-23,10,24,Turner,0.1784,-0.5,-0.05904,1,
2022-23,10,25,Fábio Vieira,1.4872,5.0,2.71668,1,
2022-23,10,26,Saliba,2.7448,7.5,4.40912,1,
2022-23,10,27,Marquinhos,0.6944,0.0,0.45136,1,
2022-23,10,28,Jesus,1.1232,6.5,3.00508,1,
2022-23,10,111,Trossard,1.2148,19.5,7.61462,1,
2022-23,10,130,Jorginho,1.0244,1.5,1.19086,1,
2022-23,10,313,Zinchenko,1.0428,0.5,0.85282,1,
2022-23,10,607,Smith,0.4992,-0.5,0.14948,1,
2022-23,10,630,Nwaneri,0.4732,0.0,0.30758,1,
2022-23,10,631,Sousa,0.5076,-0.5,0.15494,1,
2022-23,10,29,Coutinho,0.9128,3.0,1.64332,1,
2022-23,10,31,Martínez,2.926,6.5,4.1769,1,
2022-23,10,32,Chambers,0.4228,0.4,0.41482,1,
2022-23,10,33,Digne,0.0,0.0,0.0,1,
2022-23,10,34,Traoré,0.0,0.0,0.0,1,
2022-23,10,35,Olsen,0.1404,0.5,0.26626,1,
2022-23,10,36,Sanson,0.8104,0.5,0.70176,1,
2022-23,10,37,McGinn,0.8088,3.5,1.75072,1,
2022-23,10,38,Hause,0.0,0.0,0.0,1,
2022-23,10,39,Mings,2.3116,8.0,4.30254,1,
2022-23,11,3,Xhaka,1.9912,5.8,3.32428,1,
2022-23,11,4,Elneny,0.0,0.0,0.0,1,
2022-23,11,5,Holding,0.4764,0.5,0.48466,1,
2022-23,11,6,Partey,1.01,5.5,2.5815,1,
2022-23,11,7,Ødegaard,1.2088,2.5,1.66072,1,
2022-23,11,8,Tierney,0.6656,3.2,1.55264,1,
2022-23,11,9,Pépé,0.0,0.0,0.0,1,
2022-23,11,10,White,0.7908,4.5,2.08902,1,
2022-23,11,11,Nketiah,1.386,1.5,1.4259,1,
2022-23,11,12,Smith Rowe,0.0,0.0,0.0,1,
2022-23,11,13,Saka,2.4824,9.2,4.83356,1,
2022-23,11,14,Tomiyasu,0.4392,1.5,0.81048,1,
2022-23,11,15,Ramsdale,2.4036,3.5,2.78734,1,
2022-23,11,16,Gabriel,2.268,3.5,2.6992,1,
2022-23,11,17,Tavares,0.0,0.0,0.0,1,
2022-23,11,19,Martinelli,1.0924,6.8,3.09006,1,
2022-23,11,20,Pablo Marí,0.0,0.0,0.0,1,
2022-23,11,22,Torreira,0.0,0.0,0.0,1,
2022-23,11,23,Nelson,0.678,0.5,0.6157,1,
2022-23,11,24,Turner,0.1388,0.5,0.26522,1,
2022-23,11,25,Fábio Vieira,1.4212,4.5,2.49878,1,
2022-23,11,26,Saliba,2.4432,6.2,3.75808,1,
2022-23,11,27,Marquinhos,0.6972,0.8,0.73318,1,
2022-23,11,28,Jesus,1.0112,6.8,3.03728,1,
2022-23,11,111,Trossard,1.1804,11.0,4.61726,1,
2022-23,11,130,Jorginho,1.0892,2.0,1.40798,1,
2022-23,11,313,Zinchenko,0.7372,0.9,0.79418,1,
2022-23,11,607,Smith,0.454,0.5,0.4701,1,
2022-23,11,630,Nwaneri,0.454,0.8,0.5751,1,
2022-23,11,631,Sousa,0.47,0.5,0.4805,1,
2022-23,11,29,Coutinho,0.9972,1.8,1.27818,1,
