season,gw,deadline_utc,last_pre_snapshot_utc,lag_hours,pre_deadline_ok
2024-25,12,2024-11-23T11:00:00+00:00,2024-11-23T06:30:00+00:00,4.5,True
2024-25,13,2024-11-29T18:30:00+00:00,2024-11-29T12:47:00+00:00,5.72,True
2024-25,14,2024-12-03T18:00:00+00:00,2024-12-03T12:48:00+00:00,5.2,True
2024-25,15,2024-12-07T11:00:00+00:00,2024-12-07T06:31:00+00:00,4.48,True
2024-25,16,2024-12-14T13:30:00+00:00,2024-12-14T12:43:00+00:00,0.78,True
2024-25,17,2024-12-21T11:00:00+00:00,2024-12-21T06:28:00+00:00,4.53,True
2024-25,18,2024-12-26T11:00:00+00:00,2024-12-26T06:31:00+00:00,4.48,True
2024-25,19,2024-12-29T13:00:00+00:00,2024-12-29T12:39:00+00:00,0.35,True
2024-25,20,2025-01-04T11:00:00+00:00,2025-01-04T06:29:00+00:00,4.52,True
2024-25,21,2025-01-14T18:00:00+00:00,2025-01-14T12:41:00+00:00,5.32,True
2024-25,22,2025-01-18T11:00:00+00:00,2025-01-18T06:27:00+00:00,4.55,True
2024-25,23,2025-01-25T13:30:00+00:00,2025-01-25T12:38:00+00:00,0.87,True
2024-25,24,2025-02-01T11:00:00+00:00,2025-02-01T06:28:00+00:00,4.53,True
2024-25,25,2025-02-14T18:30:00+00:00,2025-02-14T18:30:00+00:00,0.0,True
2024-25,26,2025-02-21T18:30:00+00:00,2025-02-21T18:30:00+00:00,0.0,True
2024-25,27,2025-02-25T18:00:00+00:00,2025-02-25T12:45:00+00:00,5.25,True
2024-25,28,2025-03-08T11:00:00+00:00,2025-03-08T06:25:00+00:00,4.58,True
2024-25,29,2025-03-15T13:30:00+00:00,2025-03-15T12:41:00+00:00,0.82,True
2024-25,30,2025-04-01T17:15:00+00:00,2025-04-01T12:50:00+00:00,4.42,True
2024-25,31,2025-04-05T10:00:00+00:00,2025-04-05T06:31:00+00:00,3.48,True
2024-25,32,2025-04-12T10:00:00+00:00,2025-04-12T06:31:00+00:00,3.48,True
2024-25,33,2025-04-19T12:30:00+00:00,2025-04-19T06:31:00+00:00,5.98,True
2024-25,34,2025-04-26T10:00:00+00:00,2025-04-26T06:31:00+00:00,3.48,True
2024-25,35,2025-05-02T17:30:00+00:00,2025-05-02T12:49:00+00:00,4.68,True
2024-25,36,2025-05-10T12:30:00+00:00,2025-05-10T06:32:00+00:00,5.97,True
2024-25,37,2025-05-16T17:00:00+00:00,2025-05-16T12:52:00+00:00,4.13,True
2024-25,38,2025-05-25T13:30:00+00:00,2025-05-25T12:47:00+00:00,0.72,True
2025-26,1,2025-08-15T17:30:00+00:00,2025-08-15T12:52:00+00:00,4.63,True
2025-26,2,2025-08-22T17:30:00+00:00,2025-08-22T12:51:00+00:00,4.65,True
2025-26,3,2025-08-30T10:00:00+00:00,2025-08-30T06:32:00+00:00,3.47,True
2025-26,4,2025-09-13T10:00:00+00:00,2025-09-13T06:31:00+00:00,3.48,True
2025-26,5,2025-09-20T10:00:00+00:00,2025-09-20T06:32:00+00:00,3.47,True
2025-26,6,2025-09-27T10:00:00+00:00,2025-09-27T06:31:00+00:00,3.48,True
2025-26,7,2025-10-03T17:30:00+00:00,2025-10-03T12:49:00+00:00,4.68,True
2025-26,8,2025-10-18T10:00:00+00:00,2025-10-18T06:33:00+00:00,3.45,True
2025-26,9,2025-10-24T17:30:00+00:00,2025-10-24T12:54:00+00:00,4.6,True
2025-26,10,2025-11-01T13:30:00+00:00,2025-11-01T12:47:00+00:00,0.72,True
2025-26,11,2025-11-08T11:00:00+00:00,2025-11-08T06:34:00+00:00,4.43,True
2025-26,12,2025-11-22T11:00:00+00:00,2025-11-22T06:34:00+00:00,4.43,True
2025-26,13,2025-11-29T13:30:00+00:00,2025-11-29T12:50:00+00:00,0.67,True
2025-26,14,2025-12-02T18:00:00+00:00,2025-12-02T12:58:00+00:00,5.03,True
2025-26,15,2025-12-06T11:00:00+00:00,2025-12-06T06:36:00+00:00,4.4,True
2025-26,16,2025-12-13T13:30:00+00:00,2025-12-13T12:51:00+00:00,0.65,True
2025-26,17,2025-12-20T11:00:00+00:00,2025-12-20T06:38:00+00:00,4.37,True
2025-26,18,2025-12-26T18:30:00+00:00,2025-12-26T12:55:00+00:00,5.58,True
2025-26,19,2025-12-30T18:00:00+00:00,2025-12-30T12:58:00+00:00,5.03,True
2025-26,20,2026-01-03T11:00:00+00:00,2026-01-03T06:40:00+00:00,4.33,True
2025-26,21,2026-01-06T18:30:00+00:00,2026-01-06T12:58:00+00:00,5.53,True
2025-26,22,2026-01-17T11:00:00+00:00,2026-01-17T06:39:00+00:00,4.35,True
2025-26,23,2026-01-24T11:00:00+00:00,2026-01-24T06:40:00+00:00,4.33,True
2025-26,24,2026-01-31T13:30:00+00:00,2026-01-31T13:03:00+00:00,0.45,True
2025-26,25,2026-02-06T18:30:00+00:00,2026-02-06T13:15:00+00:00,5.25,True
2025-26,26,2026-02-10T18:00:00+00:00,2026-02-10T13:41:00+00:00,4.32,True
2025-26,27,2026-02-21T13:30:00+00:00,2026-02-21T13:03:00+00:00,0.45,True
2025-26,28,2026-02-27T18:30:00+00:00,2026-02-27T13:14:00+00:00,5.27,True
2025-26,29,2026-03-03T18:00:00+00:00,2026-03-03T13:14:00+00:00,4.77,True
2025-26,30,2026-03-14T13:30:00+00:00,2026-03-14T13:08:00+00:00,0.37,True
2025-26,31,2026-03-20T18:30:00+00:00,2026-03-20T13:16:00+00:00,5.23,True
2025-26,32,2026-04-10T17:30:00+00:00,2026-04-10T13:26:00+00:00,4.07,True
2025-26,33,2026-04-18T10:00:00+00:00,2026-04-18T07:19:00+00:00,2.68,True
2025-26,34,2026-04-24T17:30:00+00:00,2026-04-24T13:55:00+00:00,3.58,True
2025-26,35,2026-05-01T17:30:00+00:00,2026-05-01T13:43:00+00:00,3.78,True
2025-26,36,2026-05-09T10:00:00+00:00,2026-05-09T08:04:00+00:00,1.93,True
2025-26,37,2026-05-15T17:30:00+00:00,2026-05-15T14:23:00+00:00,3.12,True
2025-26,38,2026-05-24T13:30:00+00:00,2026-05-24T08:39:00+00:00,4.85,True
