season,e024_gate,gw,treatment_source,enter_id,enter_name,enter_pos,left_id,left_name,left_pos,ctrl_margin,abs_ctrl_margin,gap_bucket,treat_lift,ctrl_mu_enter,ctrl_mu_left,treat_mu_enter,enter_sigma,enter_p10,enter_p_start,enter_price,enter_recent4,enter_mins,left_mins,enter_pts,left_pts,dpts,both60,outcome
2022-23,FAIL,13,rates_v2b_packaged,288,Diogo Jota,FWD,318,Haaland,FWD,-0.9948,0.9948,large,0.8268,2.3296,3.3244,3.1564,2.2097,0.0164,0.72,89,185,0.0,79.0,0.0,13.0,-13.0,0,not_both60
2022-23,FAIL,13,rates_v2b_packaged,357,Trippier,DEF,484,Kilman,DEF,-0.0548,0.0548,near,0.652,2.4612,2.516,3.1132,2.3183,0.004,0.72,57,345,90.0,90.0,2.0,0.0,2.0,1,good
2022-23,FAIL,13,rates_v2b_packaged,357,Trippier,DEF,39,Mings,DEF,0.038,0.038,near,0.652,2.4612,2.4232,3.1132,2.3183,0.004,0.72,57,345,90.0,90.0,2.0,10.0,-8.0,1,bad
2022-23,FAIL,13,rates_v2b_packaged,357,Trippier,DEF,461,Zouma,DEF,-0.0848,0.0848,near,0.652,2.4612,2.546,3.1132,2.3183,0.004,0.72,57,345,90.0,90.0,2.0,15.0,-13.0,1,bad
2022-23,FAIL,13,rates_v2b_packaged,357,Trippier,DEF,475,Coady,DEF,-0.1092,0.1092,near,0.652,2.4612,2.5704,3.1132,2.3183,0.004,0.72,57,345,90.0,90.0,2.0,6.0,-4.0,1,bad
2022-23,FAIL,13,rates_v2b_packaged,141,Chalobah,DEF,484,Kilman,DEF,-0.2624,0.2624,mid,0.718,2.2536,2.516,2.9716,2.2654,0.0044,0.72,47,270,90.0,90.0,2.0,0.0,2.0,1,good
2022-23,FAIL,13,rates_v2b_packaged,141,Chalobah,DEF,39,Mings,DEF,-0.1696,0.1696,near,0.718,2.2536,2.4232,2.9716,2.2654,0.0044,0.72,47,270,90.0,90.0,2.0,10.0,-8.0,1,bad
2022-23,FAIL,13,rates_v2b_packaged,141,Chalobah,DEF,461,Zouma,DEF,-0.2924,0.2924,mid,0.718,2.2536,2.546,2.9716,2.2654,0.0044,0.72,47,270,90.0,90.0,2.0,15.0,-13.0,1,bad
2022-23,FAIL,13,rates_v2b_packaged,141,Chalobah,DEF,475,Coady,DEF,-0.3168,0.3168,mid,0.718,2.2536,2.5704,2.9716,2.2654,0.0044,0.72,47,270,90.0,90.0,2.0,6.0,-4.0,1,bad
2022-23,FAIL,14,rates_v2b_packaged,288,Diogo Jota,FWD,427,Kane,FWD,-0.1388,0.1388,near,1.1636,2.6064,2.7452,3.77,2.4518,0.0236,0.72,89,170,0.0,90.0,0.0,1.0,-1.0,0,not_both60
2022-23,FAIL,14,rates_v2b_packaged,261,Maddison,MID,680,Gakpo,MID,-0.4408,0.4408,mid,0.838,2.3656,2.8064,3.2036,2.2243,0.0088,0.72,82,270,90.0,0.0,2.0,0.0,2.0,0,not_both60
2022-23,FAIL,14,rates_v2b_packaged,261,Maddison,MID,169,Eze,MID,-0.2368,0.2368,near,0.838,2.3656,2.6024,3.2036,2.2243,0.0088,0.72,82,270,90.0,62.0,2.0,3.0,-1.0,1,bad
2022-23,FAIL,14,rates_v2b_packaged,428,Son,MID,680,Gakpo,MID,-0.1324,0.1324,near,0.5484,2.674,2.8064,3.2224,2.4612,0.0196,0.72,117,349,90.0,0.0,2.0,0.0,2.0,0,not_both60
2022-23,FAIL,14,rates_v2b_packaged,428,Son,MID,169,Eze,MID,0.0716,0.0716,near,0.5484,2.674,2.6024,3.2224,2.4612,0.0196,0.72,117,349,90.0,62.0,2.0,3.0,-1.0,1,bad
2022-23,FAIL,14,rates_v2b_packaged,335,Rashford,MID,680,Gakpo,MID,-0.2156,0.2156,near,0.368,2.5908,2.8064,2.9588,2.0762,0.0052,0.72,66,278,90.0,0.0,8.0,0.0,8.0,0,not_both60
2022-23,FAIL,14,rates_v2b_packaged,335,Rashford,MID,169,Eze,MID,-0.0116,0.0116,near,0.368,2.5908,2.6024,2.9588,2.0762,0.0052,0.72,66,278,90.0,62.0,8.0,3.0,5.0,1,good
2022-23,FAIL,14,rates_v2b_packaged,374,Bruno Guimarães,MID,680,Gakpo,MID,-0.534,0.534,mid,0.8988,2.2724,2.8064,3.1712,1.7956,0.0024,0.72,57,332,82.0,0.0,3.0,0.0,3.0,0,not_both60
2022-23,FAIL,14,rates_v2b_packaged,374,Bruno Guimarães,MID,169,Eze,MID,-0.33,0.33,mid,0.8988,2.2724,2.6024,3.1712,1.7956,0.0024,0.72,57,332,82.0,62.0,3.0,3.0,0.0,1,tie
2022-23,FAIL,15,rates_v2b_packaged,288,Diogo Jota,FWD,427,Kane,FWD,-0.3324,0.3324,mid,0.9516,2.3464,2.6788,3.298,2.2769,0.0184,0.72,89,90,0.0,90.0,0.0,8.0,-8.0,0,not_both60
2022-23,FAIL,15,rates_v2b_packaged,538,Young,DEF,516,Collins,DEF,-0.2032,0.2032,near,0.218,2.466,2.6692,2.684,2.3757,0.0052,0.72,44,360,11.0,90.0,1.0,0.0,1.0,0,not_both60
2022-23,FAIL,15,rates_v2b_packaged,538,Young,DEF,461,Zouma,DEF,-0.1292,0.1292,near,0.218,2.466,2.5952,2.684,2.3757,0.0052,0.72,44,360,11.0,90.0,1.0,1.0,0.0,0,not_both60
2022-23,FAIL,15,rates_v2b_packaged,538,Young,DEF,475,Coady,DEF,-0.0584,0.0584,near,0.218,2.466,2.5244,2.684,2.3757,0.0052,0.72,44,360,11.0,90.0,1.0,1.0,0.0,0,not_both60
2022-23,FAIL,15,rates_v2b_packaged,141,Chalobah,DEF,516,Collins,DEF,-0.29,0.29,mid,0.5308,2.3792,2.6692,2.91,2.2729,0.0052,0.72,47,360,90.0,90.0,1.0,0.0,1.0,1,good
2022-23,FAIL,15,rates_v2b_packaged,141,Chalobah,DEF,461,Zouma,DEF,-0.216,0.216,near,0.5308,2.3792,2.5952,2.91,2.2729,0.0052,0.72,47,360,90.0,90.0,1.0,1.0,0.0,1,tie
