season,e024_gate,gw,enter_id,enter_name,enter_pos,left_id,left_name,left_pos,du,dpts,enter_u,left_u,enter_pts,left_pts,enter_mins,left_mins,enter_mu_delta,both60,both_play,model_pref_enter,actual_pref_enter,tie_pts
2022-23,FAIL,5,357,Trippier,DEF,288,Diogo Jota,FWD,0.124,0.0,3.154,3.03,0.0,0.0,90.0,0.0,1.0772,0,0,1,0,1
2022-23,FAIL,5,357,Trippier,DEF,257,Amartey,DEF,1.026,0.0,3.154,2.128,0.0,0.0,90.0,0.0,1.0772,0,0,1,0,1
2022-23,FAIL,5,357,Trippier,DEF,258,Castagne,DEF,0.9128,0.0,3.154,2.2412,0.0,0.0,90.0,0.0,1.0772,0,0,1,0,1
2022-23,FAIL,5,357,Trippier,DEF,301,De Bruyne,MID,-1.022,-1.0,3.154,4.176,0.0,1.0,90.0,21.0,1.0772,0,1,0,0,0
2022-23,FAIL,5,357,Trippier,DEF,210,Mitrović,FWD,0.6276,-9.0,3.154,2.5264,0.0,9.0,90.0,90.0,1.0772,1,1,1,0,0
2022-23,FAIL,5,357,Trippier,DEF,116,Mac Allister,MID,0.3864,-10.0,3.154,2.7676,0.0,10.0,90.0,90.0,1.0772,1,1,1,0,0
2022-23,FAIL,5,357,Trippier,DEF,156,Ward,DEF,0.9868,-2.0,3.154,2.1672,0.0,2.0,90.0,90.0,1.0772,1,1,1,0,0
2022-23,FAIL,5,357,Trippier,DEF,318,Haaland,FWD,-0.406,-17.0,3.154,3.56,0.0,17.0,90.0,68.0,1.0772,1,1,0,0,0
2022-23,FAIL,5,457,Cresswell,DEF,288,Diogo Jota,FWD,-0.45,2.0,2.58,3.03,2.0,0.0,71.0,0.0,0.3212,0,0,0,1,0
2022-23,FAIL,5,457,Cresswell,DEF,257,Amartey,DEF,0.452,2.0,2.58,2.128,2.0,0.0,71.0,0.0,0.3212,0,0,1,1,0
2022-23,FAIL,5,457,Cresswell,DEF,258,Castagne,DEF,0.3388,2.0,2.58,2.2412,2.0,0.0,71.0,0.0,0.3212,0,0,1,1,0
2022-23,FAIL,5,457,Cresswell,DEF,301,De Bruyne,MID,-1.596,1.0,2.58,4.176,2.0,1.0,71.0,21.0,0.3212,0,1,0,1,0
2022-23,FAIL,5,457,Cresswell,DEF,210,Mitrović,FWD,0.0536,-7.0,2.58,2.5264,2.0,9.0,71.0,90.0,0.3212,1,1,1,0,0
2022-23,FAIL,5,457,Cresswell,DEF,116,Mac Allister,MID,-0.1876,-8.0,2.58,2.7676,2.0,10.0,71.0,90.0,0.3212,1,1,0,0,0
2022-23,FAIL,5,457,Cresswell,DEF,156,Ward,DEF,0.4128,0.0,2.58,2.1672,2.0,2.0,71.0,90.0,0.3212,1,1,1,0,1
2022-23,FAIL,5,457,Cresswell,DEF,318,Haaland,FWD,-0.98,-15.0,2.58,3.56,2.0,17.0,71.0,68.0,0.3212,1,1,0,0,0
2022-23,FAIL,5,303,Mahrez,MID,288,Diogo Jota,FWD,2.2408,4.0,5.2708,3.03,4.0,0.0,35.0,0.0,2.5872,0,0,1,1,0
2022-23,FAIL,5,303,Mahrez,MID,257,Amartey,DEF,3.1428,4.0,5.2708,2.128,4.0,0.0,35.0,0.0,2.5872,0,0,1,1,0
2022-23,FAIL,5,303,Mahrez,MID,258,Castagne,DEF,3.0296,4.0,5.2708,2.2412,4.0,0.0,35.0,0.0,2.5872,0,0,1,1,0
2022-23,FAIL,5,303,Mahrez,MID,301,De Bruyne,MID,1.0948,3.0,5.2708,4.176,4.0,1.0,35.0,21.0,2.5872,0,1,1,1,0
2022-23,FAIL,5,303,Mahrez,MID,210,Mitrović,FWD,2.7444,-5.0,5.2708,2.5264,4.0,9.0,35.0,90.0,2.5872,0,1,1,0,0
2022-23,FAIL,5,303,Mahrez,MID,116,Mac Allister,MID,2.5032,-6.0,5.2708,2.7676,4.0,10.0,35.0,90.0,2.5872,0,1,1,0,0
2022-23,FAIL,5,303,Mahrez,MID,156,Ward,DEF,3.1036,2.0,5.2708,2.1672,4.0,2.0,35.0,90.0,2.5872,0,1,1,1,0
2022-23,FAIL,5,303,Mahrez,MID,318,Haaland,FWD,1.7108,-13.0,5.2708,3.56,4.0,17.0,35.0,68.0,2.5872,0,1,1,0,0
2022-23,FAIL,5,465,Bowen,MID,288,Diogo Jota,FWD,0.8372,2.0,3.8672,3.03,2.0,0.0,90.0,0.0,1.1432,0,0,1,1,0
2022-23,FAIL,5,465,Bowen,MID,257,Amartey,DEF,1.7392,2.0,3.8672,2.128,2.0,0.0,90.0,0.0,1.1432,0,0,1,1,0
2022-23,FAIL,5,465,Bowen,MID,258,Castagne,DEF,1.626,2.0,3.8672,2.2412,2.0,0.0,90.0,0.0,1.1432,0,0,1,1,0
2022-23,FAIL,5,465,Bowen,MID,301,De Bruyne,MID,-0.3088,1.0,3.8672,4.176,2.0,1.0,90.0,21.0,1.1432,0,1,0,1,0
2022-23,FAIL,5,465,Bowen,MID,210,Mitrović,FWD,1.3408,-7.0,3.8672,2.5264,2.0,9.0,90.0,90.0,1.1432,1,1,1,0,0
2022-23,FAIL,5,465,Bowen,MID,116,Mac Allister,MID,1.0996,-8.0,3.8672,2.7676,2.0,10.0,90.0,90.0,1.1432,1,1,1,0,0
2022-23,FAIL,5,465,Bowen,MID,156,Ward,DEF,1.7,0.0,3.8672,2.1672,2.0,2.0,90.0,90.0,1.1432,1,1,1,0,1
2022-23,FAIL,5,465,Bowen,MID,318,Haaland,FWD,0.3072,-15.0,3.8672,3.56,2.0,17.0,90.0,68.0,1.1432,1,1,1,0,0
