season,e024_gate,gw,movement,player_id,web_name,position,season_minutes,recent4_minutes,q,ctrl_mu,treat_mu,packaged_u,mu_delta,had_club_prior,new_club,was_ctrl_captain,was_treat_captain,actual_minutes,blank,actual_points,decision_utility
2022-23,FAIL,9,left,81,Raya,GKP,630,270,1.0,3.29,3.16,3.16,-0.13,1,1,1,0,90.0,0,6.0,3.16
2022-23,FAIL,9,left,356,Wilson,FWD,244,0,0.0,2.4396,2.9612,2.4396,0.5216,1,1,0,0,65.0,0,6.0,2.4396
2022-23,FAIL,9,left,71,Mepham,DEF,621,270,1.0,2.5184,2.5184,2.5184,0.0,0,1,0,0,90.0,0,6.0,2.5184
2022-23,FAIL,9,entered,40,Watkins,FWD,564,270,1.0,2.3476,2.5776,2.5776,0.23,1,0,0,0,90.0,0,2.0,2.5776
2022-23,FAIL,9,entered,2,Leno,GKP,450,270,1.0,3.2876,3.2876,3.2876,0.0,0,1,0,0,90.0,0,2.0,3.2876
2022-23,FAIL,9,entered,357,Trippier,DEF,630,270,1.0,2.2816,3.1428,3.1428,0.8612,1,1,0,0,82.0,0,7.0,3.1428
2022-23,FAIL,10,left,71,Mepham,DEF,711,270,1.0,2.5304,2.5304,2.5304,0.0,0,1,0,0,90.0,0,2.0,2.5304
2022-23,FAIL,10,entered,407,Ward-Prowse,MID,720,270,1.0,2.2584,2.5732,2.5732,0.3148,1,1,0,0,90.0,0,2.0,2.5732
2022-23,FAIL,11,left,617,Aubameyang,FWD,74,74,0.8222,2.4968,2.4968,2.4968,0.0,0,1,0,0,57.0,0,1.0,2.4968
2022-23,FAIL,11,entered,40,Watkins,FWD,744,270,1.0,2.38,2.6152,2.6152,0.2352,1,0,0,0,90.0,0,2.0,2.6152
2022-23,FAIL,12,left,258,Castagne,DEF,741,336,1.0,2.6056,2.6084,2.6084,0.0028,1,1,0,0,90.0,0,6.0,2.6084
2022-23,FAIL,12,left,66,Solanke,FWD,673,358,1.0,2.5312,2.5312,2.5312,0.0,0,1,0,0,90.0,0,2.0,2.5312
2022-23,FAIL,12,left,680,Gakpo,MID,0,0,0.0,2.7748,2.7748,2.7748,0.0,0,1,0,0,0.0,1,0.0,2.7748
2022-23,FAIL,12,left,333,Fernandes,MID,809,270,1.0,2.544,2.5476,2.5476,0.0036,1,1,0,0,90.0,0,11.0,2.5476
2022-23,FAIL,12,left,342,Dalot,DEF,805,270,1.0,2.7348,2.5928,2.5928,-0.142,1,1,0,0,90.0,0,6.0,2.5928
2022-23,FAIL,12,left,377,Botman,DEF,631,270,1.0,2.5288,2.5288,2.5288,0.0,0,1,0,0,90.0,0,7.0,2.5288
2022-23,FAIL,12,entered,288,Diogo Jota,FWD,195,185,1.0,2.4964,3.7,3.7,1.2036,1,1,0,1,0.0,1,0.0,3.7
2022-23,FAIL,12,entered,261,Maddison,MID,804,354,1.0,2.4652,3.316,3.316,0.8508,1,1,0,0,0.0,1,0.0,3.316
2022-23,FAIL,12,entered,264,Barnes,MID,654,354,1.0,2.3324,3.2644,3.2644,0.932,1,1,0,0,84.0,0,8.0,3.2644
2022-23,FAIL,12,entered,366,Schär,DEF,802,352,1.0,2.4888,2.642,2.642,0.1532,1,1,0,0,90.0,0,5.0,2.642
2022-23,FAIL,12,entered,465,Bowen,MID,894,360,1.0,2.4184,2.9556,2.9556,0.5372,1,0,0,0,90.0,0,0.0,2.9556
2022-23,FAIL,12,entered,374,Bruno Guimarães,MID,553,283,1.0,2.4628,3.5232,3.5232,1.0604,1,1,0,0,90.0,0,6.0,3.5232
2022-23,FAIL,13,left,484,Kilman,DEF,990,360,1.0,2.516,2.502,2.502,-0.014,1,0,0,0,90.0,0,0.0,2.502
2022-23,FAIL,13,left,39,Mings,DEF,810,360,1.0,2.4232,2.6212,2.6212,0.198,1,0,0,0,90.0,0,10.0,2.6212
2022-23,FAIL,13,left,617,Aubameyang,FWD,140,140,1.0,2.708,2.708,2.708,0.0,0,1,0,0,73.0,0,2.0,2.708
2022-23,FAIL,13,left,461,Zouma,DEF,900,270,1.0,2.546,2.534,2.534,-0.012,1,0,0,0,90.0,0,15.0,2.534
2022-23,FAIL,13,left,475,Coady,DEF,890,360,1.0,2.5704,2.5704,2.5704,0.0,0,1,0,0,90.0,0,6.0,2.5704
2022-23,FAIL,13,left,318,Haaland,FWD,841,270,1.0,3.3244,3.3244,3.3244,0.0,0,1,0,0,79.0,0,13.0,3.3244
2022-23,FAIL,13,entered,288,Diogo Jota,FWD,195,185,1.0,2.3296,3.1564,3.1564,0.8268,1,1,0,0,0.0,1,0.0,3.1564
2022-23,FAIL,13,entered,357,Trippier,DEF,975,345,1.0,2.4612,3.1132,3.1132,0.652,1,1,0,0,90.0,0,2.0,3.1132
2022-23,FAIL,13,entered,171,Olise,MID,423,278,1.0,1.9216,2.7164,2.7164,0.7948,1,0,0,0,61.0,0,2.0,2.7164
2022-23,FAIL,13,entered,141,Chalobah,DEF,360,270,1.0,2.2536,2.9716,2.9716,0.718,1,0,0,0,90.0,0,2.0,2.9716
2022-23,FAIL,13,entered,465,Bowen,MID,984,360,1.0,2.5352,3.18,3.18,0.6448,1,0,0,0,87.0,0,3.0,3.18
2022-23,FAIL,13,entered,374,Bruno Guimarães,MID,643,302,1.0,2.172,2.8396,2.8396,0.6676,1,1,0,0,88.0,0,2.0,2.8396
2022-23,FAIL,14,left,576,Senesi,DEF,671,346,1.0,2.6296,2.6296,2.6296,0.0,0,1,0,0,90.0,0,1.0,2.6296
2022-23,FAIL,14,left,680,Gakpo,MID,0,0,0.0,2.8064,2.8064,2.8064,0.0,0,1,0,0,0.0,1,0.0,2.8064
2022-23,FAIL,14,left,169,Eze,MID,911,359,1.0,2.6024,2.7692,2.7692,0.1668,1,0,0,0,62.0,0,3.0,2.7692
2022-23,FAIL,14,left,427,Kane,FWD,1066,359,1.0,2.7452,2.9044,2.9044,0.1592,1,1,0,0,90.0,0,1.0,2.9044
2022-23,FAIL,14,left,342,Dalot,DEF,985,360,1.0,2.5944,2.5996,2.5996,0.0052,1,1,0,0,90.0,0,9.0,2.5996
2022-23,FAIL,14,entered,288,Diogo Jota,FWD,195,170,1.0,2.6064,3.77,3.77,1.1636,1,1,0,0,0.0,1,0.0,3.77
2022-23,FAIL,14,entered,261,Maddison,MID,894,270,1.0,2.3656,3.2036,3.2036,0.838,1,1,0,0,90.0,0,2.0,3.2036
2022-23,FAIL,14,entered,428,Son,MID,940,349,1.0,2.674,3.2224,3.2224,0.5484,1,1,0,0,90.0,0,2.0,3.2224
2022-23,FAIL,14,entered,335,Rashford,MID,856,278,1.0,2.5908,2.9588,2.9588,0.368,1,1,0,0,90.0,0,8.0,2.9588
2022-23,FAIL,14,entered,374,Bruno Guimarães,MID,731,332,1.0,2.2724,3.1712,3.1712,0.8988,1,1,0,0,82.0,0,3.0,3.1712
2022-23,FAIL,15,left,427,Kane,FWD,1156,360,1.0,2.6788,2.8388,2.8388,0.16,1,1,0,0,90.0,0,8.0,2.8388
2022-23,FAIL,15,left,516,Collins,DEF,842,270,1.0,2.6692,2.6692,2.6692,0.0,0,1,0,0,90.0,0,0.0,2.6692
