season,e024_gate,gw,u_bench,bench_pts,cap_normal,cap_bb,bench_ids,bench_names,is_t_star,is_g_star
2024-25,PASS,37,12.3484,13.0,49.0,62.0,304|148|388|579,Stolarczyk|Welbeck|Wan-Bissaka|Sessegnon,0,0
2024-25,PASS,38,12.1308,7.0,46.0,53.0,91|402|263|720,Flekken|J.Murphy|Burgess|Agbadou,0,0
2025-26,FAIL,1,4.7164,0.0,56.0,56.0,627|46|445|749,Johnstone|Yasin|Amass|Mané,0,0
2025-26,FAIL,2,8.6984,0.0,7.0,7.0,782|168|227|710,Forster|Buonanotte|Colwill|Patterson,0,0
2025-26,FAIL,3,7.4544,7.0,14.0,21.0,782|691|77|706,Forster|Calvert-Lewin|Hill|Justin,0,0
2025-26,FAIL,4,9.5428,3.0,20.0,23.0,674|30|725|72,Ramsdale|Havertz|Hincapie|Senesi,0,0
2025-26,FAIL,5,9.9436,4.0,56.0,60.0,2|541|732|217,Arrizabalaga|Reinildo|Uche|Foster,0,0
2025-26,FAIL,6,10.8732,20.0,49.0,69.0,567|348|136|732,Kinsky|Rodon|Thiago|Uche,0,0
2025-26,FAIL,7,12.1128,5.0,49.0,54.0,782|135|694|136,Forster|Wissa|Mukiele|Thiago,0,0
2025-26,FAIL,8,10.6064,13.0,71.0,84.0,470|493|691|217,Dúbravka|Longstaff|Calvert-Lewin|Foster,0,0
2025-26,FAIL,9,10.5112,6.0,31.0,37.0,470|547|691|732,Dúbravka|E.Le Fée|Calvert-Lewin|Uche,0,0
2025-26,FAIL,10,12.9912,11.0,74.0,85.0,470|151|585|560,Dúbravka|Van Hecke|Bentancur|Isidor,0,0
2025-26,FAIL,11,12.576,13.0,37.0,50.0,470|257|560|198,Dúbravka|Lacroix|Isidor|Tuanzebe,0,0
2025-26,FAIL,12,11.0404,6.0,26.0,32.0,67|198|215|100,Petrović|Tuanzebe|Flemming|Kroupi.Jr,0,0
2025-26,FAIL,13,12.6808,1.0,43.0,44.0,470|241|113|348,Dúbravka|Caicedo|Van den Berg|Rodon,0,0
2025-26,FAIL,14,11.5556,9.0,52.0,61.0,67|348|191|215,Petrović|Rodon|Estève|Flemming,0,0
2025-26,FAIL,15,13.0948,10.0,63.0,73.0,565|684|365|173,Vicario|Thiaw|Nmecha|Wieffer,0,0
2025-26,FAIL,16,12.312,5.0,80.0,85.0,470|295|191|526,Dúbravka|Keane|Estève|Igor Jesus,0,0
2025-26,FAIL,17,12.0976,20.0,53.0,73.0,470|691|344|191,Dúbravka|Calvert-Lewin|Bijol|Estève,0,0
2025-26,FAIL,18,12.8572,20.0,31.0,51.0,600|691|191|190,Areola|Calvert-Lewin|Estève|Ekdal,0,0
2025-26,FAIL,19,13.1984,18.0,47.0,65.0,470|694|295|125,Dúbravka|Mukiele|Keane|Janelt,0,0
2025-26,FAIL,20,11.0812,13.0,21.0,34.0,470|321|344|100,Dúbravka|J.Cuenca|Bijol|Kroupi.Jr,0,1
2025-26,FAIL,21,13.6932,18.0,51.0,69.0,470|283|106|190,Dúbravka|Mateta|Collins|Ekdal,0,0
2025-26,FAIL,22,13.0156,18.0,47.0,65.0,470|417|343|151,Dúbravka|Cherki|Struijk|Van Hecke,0,0
2025-26,FAIL,23,13.1636,8.0,23.0,31.0,470|295|106|749,Dúbravka|Keane|Collins|Mané,0,0
2025-26,FAIL,24,13.6536,10.0,78.0,88.0,32|136|72|508,Martinez|Thiago|Senesi|N.Williams,0,0
2025-26,FAIL,25,13.0608,24.0,58.0,82.0,139|691|706|77,Verbruggen|Calvert-Lewin|Justin|Hill,0,0
2025-26,FAIL,26,13.1228,3.0,91.0,94.0,600|106|303|100,Areola|Collins|Garner|Kroupi.Jr,0,0
2025-26,FAIL,27,14.07,8.0,33.0,41.0,32|106|303|691,Martinez|Collins|Garner|Calvert-Lewin,0,0
2025-26,FAIL,28,13.2216,14.0,56.0,70.0,628|691|343|77,José Sá|Calvert-Lewin|Struijk|Hill,0,0
2025-26,FAIL,29,13.9336,8.0,67.0,75.0,628|260|691|343,José Sá|Guéhi|Calvert-Lewin|Struijk,0,0
2025-26,FAIL,30,14.1828,20.0,68.0,88.0,502|517|723|199,Sels|Anderson|Canvot|Worrall,0,0
2025-26,FAIL,31,14.768,10.0,68.0,78.0,469|291|136|531,Pope|Tarkowski|Thiago|Ballard,0,0
2025-26,FAIL,32,13.7224,32.0,45.0,77.0,341|517|113|606,Darlow|Anderson|Van den Berg|Mavropanos,0,0
2025-26,FAIL,33,25.1404,31.0,85.0,116.0,139|169|151|344,Verbruggen|Gomez|Van Hecke|Bijol,1,0
2025-26,FAIL,34,14.1048,8.0,49.0,57.0,628|606|694|337,José Sá|Mavropanos|Mukiele|Raúl,0,0
2025-26,FAIL,35,14.5924,5.0,61.0,66.0,341|84|531|706,Darlow|Tavernier|Ballard|Justin,0,0
2025-26,FAIL,36,15.1788,28.0,58.0,86.0,670|72|517|373,Roefs|Senesi|Anderson|Virgil,0,0
2025-26,FAIL,37,12.7348,16.0,71.0,87.0,470|100|344|447,Dúbravka|Kroupi.Jr|Bijol|Heaven,0,0
2025-26,FAIL,38,15.2068,5.0,26.0,31.0,670|178|411|72,Roefs|Welbeck|O'Reilly|Senesi,0,0
