season,e024_gate,gw,position,entrant_id,entrant_name,leaver_id,leaver_name,delta_pair,delta_ilp,delta_full,delta_reeq,abs_reeq_gt_pair,g_treat,g_ctrl,ctrl_cap,pair_cap,full_cap,entrant_pts,leaver_pts,dpts_swap
2022-23,FAIL,12,DEF,366,Schär,377,Botman,-23.0,-23.0,-23.0,0.0,0,1.1775,0.2948,67.0,44.0,44.0,5.0,7.0,-2.0
2022-23,FAIL,12,DEF,84,Ajer,342,Dalot,-28.0,-23.0,-23.0,5.0,0,1.2224,0.5318,67.0,39.0,44.0,0.0,6.0,-6.0
2022-23,FAIL,12,DEF,84,Ajer,377,Botman,-28.0,-23.0,-23.0,5.0,0,1.2148,0.5071,67.0,39.0,44.0,0.0,7.0,-7.0
2022-23,FAIL,13,FWD,288,Diogo Jota,617,Aubameyang,0.0,-33.0,-33.0,-33.0,1,1.2818,0.333,58.0,58.0,25.0,0.0,2.0,-2.0
2022-23,FAIL,13,FWD,288,Diogo Jota,318,Haaland,-11.0,-33.0,-33.0,-22.0,1,1.8242,0.8754,58.0,47.0,25.0,0.0,13.0,-13.0
2022-23,FAIL,13,FWD,166,Edouard,617,Aubameyang,2.0,-33.0,-33.0,-35.0,1,1.9953,0.7758,58.0,60.0,25.0,2.0,2.0,0.0
2022-23,FAIL,13,FWD,166,Edouard,318,Haaland,-9.0,-33.0,-33.0,-24.0,1,2.5377,1.3182,58.0,49.0,25.0,2.0,13.0,-11.0
2022-23,FAIL,13,DEF,141,Chalobah,475,Coady,-2.0,-33.0,-33.0,-31.0,1,1.3233,0.2788,58.0,56.0,25.0,2.0,6.0,-4.0
2022-23,FAIL,14,FWD,166,Edouard,66,Solanke,3.0,5.0,5.0,2.0,0,1.8685,0.0586,48.0,51.0,53.0,6.0,2.0,4.0
2022-23,FAIL,14,FWD,166,Edouard,427,Kane,11.0,5.0,5.0,-6.0,0,2.1676,0.2215,48.0,59.0,53.0,6.0,1.0,5.0
2022-23,FAIL,14,DEF,257,Amartey,576,Senesi,11.0,5.0,5.0,-6.0,0,1.9189,0.0414,48.0,59.0,53.0,2.0,1.0,1.0
2022-23,FAIL,14,DEF,257,Amartey,342,Dalot,3.0,5.0,5.0,2.0,0,1.8925,0.0105,48.0,51.0,53.0,2.0,9.0,-7.0
2022-23,FAIL,14,DEF,39,Mings,576,Senesi,11.0,5.0,5.0,-6.0,0,1.9661,0.1006,48.0,59.0,53.0,0.0,1.0,-1.0
2022-23,FAIL,14,DEF,39,Mings,342,Dalot,3.0,5.0,5.0,2.0,0,1.9397,0.0696,48.0,51.0,53.0,0.0,9.0,-9.0
2022-23,FAIL,14,MID,261,Maddison,680,Gakpo,5.0,5.0,5.0,0.0,0,1.5387,0.3906,48.0,53.0,53.0,2.0,0.0,2.0
2022-23,FAIL,14,MID,261,Maddison,169,Eze,2.0,5.0,5.0,3.0,1,1.5059,0.2111,48.0,50.0,53.0,2.0,3.0,-1.0
2022-23,FAIL,14,MID,374,Bruno Guimarães,680,Gakpo,6.0,5.0,5.0,-1.0,0,1.5672,0.4727,48.0,54.0,53.0,3.0,0.0,3.0
2022-23,FAIL,14,MID,374,Bruno Guimarães,169,Eze,3.0,5.0,5.0,2.0,0,1.5344,0.2931,48.0,51.0,53.0,3.0,3.0,0.0
2022-23,FAIL,14,MID,374,Bruno Guimarães,369,Almirón,5.0,5.0,5.0,0.0,0,1.3814,0.3092,48.0,53.0,53.0,3.0,12.0,-9.0
2022-23,FAIL,14,GKP,518,Hennessey,2,Leno,3.0,5.0,5.0,2.0,0,1.977,0.0916,48.0,51.0,53.0,0.0,10.0,-10.0
