scope,season,gw,gate,rank,u,delta_u,distance,jaccard,bank,cost,club_max,minutes_risk,captain,vice,enters,exits,ids,names
historical,2022-23,18,FAIL,6,173.8897,3.3862,2,0.7647,0,1000,3,13,Leno,De Bruyne,Botman;Meslier,Olsen;White,2 7 238 297 300 301 302 332 335 377 427 470 513 519 690,Leno;Meslier;Stones;Shaw;Lenglet;Diop;Botman;De Bruyne;Rashford;Gündogan;Ødegaard;Eriksen;Darwin;Kane;João Félix
historical,2022-23,18,FAIL,7,177.2341,0.0418,2,0.7647,1,999,3,13,Leno,De Bruyne,Amartey;Meslier,Olsen;White,2 7 238 257 297 300 301 302 332 335 427 470 513 519 690,Leno;Meslier;Stones;Shaw;Lenglet;Diop;Amartey;De Bruyne;Rashford;Gündogan;Ødegaard;Eriksen;Darwin;Kane;João Félix
historical,2022-23,18,FAIL,8,177.2199,0.0560,1,0.8750,1,999,3,13,Leno,De Bruyne,Ward,Olsen,2 7 10 254 297 300 301 302 332 335 427 470 513 519 690,Leno;Ward;Stones;Shaw;Lenglet;Diop;White;De Bruyne;Rashford;Gündogan;Ødegaard;Eriksen;Darwin;Kane;João Félix
historical,2022-23,18,FAIL,9,177.2148,0.0612,2,0.7647,0,1000,3,13,Leno,De Bruyne,Cooper;Guaita,Olsen;White,2 7 152 221 297 300 301 302 332 335 427 470 513 519 690,Leno;Guaita;Stones;Shaw;Lenglet;Diop;Cooper;De Bruyne;Rashford;Gündogan;Ødegaard;Eriksen;Darwin;Kane;João Félix
historical,2022-23,18,FAIL,10,177.2121,0.0638,2,0.7647,0,1000,3,13,Leno,De Bruyne,Amartey;Raya,Olsen;White,2 7 81 257 297 300 301 302 332 335 427 470 513 519 690,Leno;Raya;Stones;Shaw;Lenglet;Diop;Amartey;De Bruyne;Rashford;Gündogan;Ødegaard;Eriksen;Darwin;Kane;João Félix
historical,2022-23,32,FAIL,1,202.9484,0.0000,0,1.0000,1,999,3,4,Salah,Johnstone,,,2 66 107 116 124 175 283 284 285 318 335 342 357 461 594,Leno;Johnstone;Trippier;Alexander-Arnold;Robertson;Dalot;Zouma;Salah;Mac Allister;March;Rashford;Mitoma;Haaland;Isak;Solanke
historical,2022-23,32,FAIL,2,198.6254,4.3230,2,0.7647,0,1000,3,3,Salah,Johnstone,Keane;Schär,Dalot;Zouma,2 66 107 116 124 175 180 283 284 285 318 335 357 366 594,Leno;Johnstone;Trippier;Alexander-Arnold;Robertson;Schär;Keane;Salah;Mac Allister;March;Rashford;Mitoma;Haaland;Isak;Solanke
historical,2022-23,32,FAIL,3,205.3541,-2.4058,1,0.8750,0,1000,3,4,Salah,Leno,Neto,Johnstone,2 66 107 116 124 283 284 285 318 335 342 357 461 574 594,Leno;Neto;Trippier;Alexander-Arnold;Robertson;Dalot;Zouma;Salah;Mac Allister;March;Rashford;Mitoma;Haaland;Isak;Solanke
historical,2022-23,32,FAIL,4,201.6759,1.2724,1,0.8750,0,1000,3,4,Salah,Johnstone,Botman,Zouma,2 66 107 116 124 175 283 284 285 318 335 342 357 377 594,Leno;Johnstone;Trippier;Alexander-Arnold;Robertson;Dalot;Botman;Salah;Mac Allister;March;Rashford;Mitoma;Haaland;Isak;Solanke
historical,2022-23,32,FAIL,5,197.8110,5.1373,2,0.7647,0,1000,3,3,Salah,Johnstone,Schär;Tarkowski,Dalot;Zouma,2 66 107 116 124 175 199 283 284 285 318 335 357 366 594,Leno;Johnstone;Trippier;Alexander-Arnold;Robertson;Schär;Tarkowski;Salah;Mac Allister;March;Rashford;Mitoma;Haaland;Isak;Solanke
historical,2022-23,32,FAIL,6,201.4436,1.5048,1,0.8750,0,1000,3,4,Salah,Johnstone,Burn,Zouma,2 66 107 116 124 175 283 284 285 318 335 342 357 358 594,Leno;Johnstone;Trippier;Alexander-Arnold;Robertson;Dalot;Burn;Salah;Mac Allister;March;Rashford;Mitoma;Haaland;Isak;Solanke
historical,2022-23,32,FAIL,7,197.5747,5.3736,2,0.7647,1,999,3,4,Salah,Johnstone,Cunha;Schär,Dalot;Solanke,2 107 116 124 175 283 284 285 318 335 357 366 461 594 682,Leno;Johnstone;Trippier;Alexander-Arnold;Robertson;Schär;Zouma;Salah;Mac Allister;March;Rashford;Mitoma;Haaland;Isak;Cunha
historical,2022-23,32,FAIL,8,197.5235,5.4249,2,0.7647,0,1000,3,4,Salah,Raya,Pinnock;Raya,Dalot;Johnstone,2 66 81 92 107 116 124 283 284 285 318 335 357 461 594,Leno;Raya;Trippier;Alexander-Arnold;Robertson;Zouma;Pinnock;Salah;Mac Allister;March;Rashford;Mitoma;Haaland;Isak;Solanke
historical,2022-23,32,FAIL,9,197.5148,5.4336,2,0.7647,2,998,3,4,Salah,Raya,Keane;Raya,Dalot;Johnstone,2 66 81 107 116 124 180 283 284 285 318 335 357 461 594,Leno;Raya;Trippier;Alexander-Arnold;Robertson;Zouma;Keane;Salah;Mac Allister;March;Rashford;Mitoma;Haaland;Isak;Solanke
historical,2022-23,32,FAIL,10,199.4030,3.5454,2,0.7647,0,1000,3,4,Salah,Leno,Fabianski;Pinnock,Dalot;Johnstone,2 66 92 107 116 124 283 284 285 318 335 357 455 461 594,Leno;Fabianski;Trippier;Alexander-Arnold;Robertson;Zouma;Pinnock;Salah;Mac Allister;March;Rashford;Mitoma;Haaland;Isak;Solanke
historical,2025-26,4,FAIL,1,167.7554,0.0000,0,1.0000,11,989,3,10,Isak,Gvardiol,,,8 17 81 225 288 373 403 414 415 453 499 674 681 714 725,Ramsdale;Travers;Gvardiol;J.Timber;Hincapie;James;Virgil;Foden;Garnacho;Savinho;Ødegaard;Kluivert;Isak;Šeško;Woltemade
historical,2025-26,4,FAIL,2,167.7412,0.0143,1,0.8750,12,988,3,10,Isak,Gvardiol,Robertson,Virgil,8 17 81 225 288 372 403 414 415 453 499 674 681 714 725,Ramsdale;Travers;Gvardiol;J.Timber;Hincapie;James;Robertson;Foden;Garnacho;Savinho;Ødegaard;Kluivert;Isak;Šeško;Woltemade
historical,2025-26,4,FAIL,3,167.7374,0.0181,1,0.8750,12,988,3,10,Isak,Gvardiol,Frimpong,Virgil,8 17 81 225 288 370 403 414 415 453 499 674 681 714 725,Ramsdale;Travers;Gvardiol;J.Timber;Hincapie;James;Frimpong;Foden;Garnacho;Savinho;Ødegaard;Kluivert;Isak;Šeško;Woltemade
historical,2025-26,4,FAIL,4,167.7143,0.0412,1,0.8750,25,975,3,10,Isak,Gvardiol,Senesi,Virgil,8 17 72 81 225 288 403 414 415 453 499 674 681 714 725,Ramsdale;Travers;Gvardiol;J.Timber;Hincapie;James;Senesi;Foden;Garnacho;Savinho;Ødegaard;Kluivert;Isak;Šeško;Woltemade
historical,2025-26,4,FAIL,5,168.0523,-0.2968,1,0.8750,11,989,3,10,Isak,Gvardiol,Kolo Muani,Woltemade,8 17 81 225 288 373 403 414 415 453 499 674 681 725 726,Ramsdale;Travers;Gvardiol;J.Timber;Hincapie;James;Virgil;Foden;Garnacho;Savinho;Ødegaard;Kluivert;Isak;Šeško;Kolo Muani
historical,2025-26,4,FAIL,6,167.7041,0.0513,1,0.8750,7,993,3,10,Isak,Gvardiol,Robertson,James,8 17 81 288 372 373 403 414 415 453 499 674 681 714 725,Ramsdale;Travers;Gvardiol;J.Timber;Hincapie;Virgil;Robertson;Foden;Garnacho;Savinho;Ødegaard;Kluivert;Isak;Šeško;Woltemade
historical,2025-26,4,FAIL,7,167.7003,0.0551,1,0.8750,7,993,3,10,Isak,Gvardiol,Frimpong,James,8 17 81 288 370 373 403 414 415 453 499 674 681 714 725,Ramsdale;Travers;Gvardiol;J.Timber;Hincapie;Virgil;Frimpong;Foden;Garnacho;Savinho;Ødegaard;Kluivert;Isak;Šeško;Woltemade
historical,2025-26,4,FAIL,8,168.0380,-0.2825,2,0.7647,12,988,3,10,Isak,Gvardiol,Kolo Muani;Robertson,Virgil;Woltemade,8 17 81 225 288 372 403 414 415 453 499 674 681 725 726,Ramsdale;Travers;Gvardiol;J.Timber;Hincapie;James;Robertson;Foden;Garnacho;Savinho;Ødegaard;Kluivert;Isak;Šeško;Kolo Muani
historical,2025-26,4,FAIL,9,167.6980,0.0574,1,0.8750,16,984,3,10,Isak,Gvardiol,Tarkowski,Virgil,8 17 81 225 288 291 403 414 415 453 499 674 681 714 725,Ramsdale;Travers;Gvardiol;J.Timber;Hincapie;James;Tarkowski;Foden;Garnacho;Savinho;Ødegaard;Kluivert;Isak;Šeško;Woltemade
historical,2025-26,4,FAIL,10,168.0342,-0.2788,2,0.7647,12,988,3,10,Isak,Gvardiol,Frimpong;Kolo Muani,Virgil;Woltemade,8 17 81 225 288 370 403 414 415 453 499 674 681 725 726,Ramsdale;Travers;Gvardiol;J.Timber;Hincapie;James;Frimpong;Foden;Garnacho;Savinho;Ødegaard;Kluivert;Isak;Šeško;Kolo Muani
historical,2025-26,18,FAIL,1,196.8673,0.0000,0,1.0000,2,998,3,13,Haaland,Roefs,,,8 16 21 72 82 84 136 237 295 317 430 531 600 670 691,Roefs;Areola;Ballard;Senesi;J.Timber;Keane;Andersen;Saka;Rice;Enzo;Semenyo;Tavernier;Haaland;Thiago;Calvert-Lewin
