season,gw,team_id,short_name,sh0,sa0,sh1,sa1,replaced
2022-23,21,1,ARS,1245,1285,1220,1270,1
2022-23,21,2,AVL,1070,1100,1090,1100,1
2022-23,21,3,BOU,1035,1095,1060,1090,1
2022-23,21,4,BRE,1115,1180,1100,1130,1
2022-23,21,5,BHA,1170,1175,1150,1160,1
2022-23,21,6,CHE,1165,1220,1200,1220,1
2022-23,21,7,CRY,1085,1100,1100,1140,1
2022-23,21,8,EVE,1055,1095,1080,1100,1
2022-23,21,9,FUL,1095,1100,1075,1100,1
2022-23,21,10,LEI,1130,1115,1130,1130,1
2022-23,21,11,LEE,1100,1090,1100,1100,1
2022-23,21,12,LIV,1220,1275,1300,1350,1
2022-23,21,13,MCI,1350,1360,1350,1370,1
2022-23,21,14,MUN,1155,1220,1150,1220,1
2022-23,21,15,NEW,1210,1260,1160,1210,1
2022-23,21,16,NFO,1050,1100,1045,1080,1
2022-23,21,17,SOU,1065,1070,1090,1100,1
2022-23,21,18,TOT,1155,1220,1190,1230,1
2022-23,21,19,WHU,1100,1130,1100,1120,1
2022-23,21,20,WOL,1080,1090,1100,1100,1
2022-23,22,1,ARS,1245,1285,1220,1270,1
2022-23,22,2,AVL,1070,1100,1090,1100,1
2022-23,22,3,BOU,1035,1095,1060,1090,1
2022-23,22,4,BRE,1115,1180,1100,1130,1
2022-23,22,5,BHA,1170,1175,1150,1160,1
2022-23,22,6,CHE,1165,1220,1200,1220,1
2022-23,22,7,CRY,1085,1100,1100,1140,1
2022-23,22,8,EVE,1055,1095,1080,1100,1
2022-23,22,9,FUL,1095,1100,1075,1100,1
2022-23,22,10,LEI,1130,1115,1130,1130,1
2022-23,22,11,LEE,1100,1090,1100,1100,1
2022-23,22,12,LIV,1220,1275,1300,1350,1
2022-23,22,13,MCI,1350,1360,1350,1370,1
2022-23,22,14,MUN,1155,1220,1150,1220,1
2022-23,22,15,NEW,1210,1260,1160,1210,1
2022-23,22,16,NFO,1050,1100,1045,1080,1
2022-23,22,17,SOU,1065,1070,1090,1100,1
2022-23,22,18,TOT,1155,1220,1190,1230,1
2022-23,22,19,WHU,1100,1130,1100,1120,1
2022-23,22,20,WOL,1080,1090,1100,1100,1
2022-23,23,1,ARS,1245,1285,1220,1270,1
2022-23,23,2,AVL,1070,1100,1090,1100,1
2022-23,23,3,BOU,1035,1095,1060,1090,1
2022-23,23,4,BRE,1115,1180,1100,1130,1
2022-23,23,5,BHA,1170,1175,1150,1160,1
2022-23,23,6,CHE,1165,1220,1200,1220,1
2022-23,23,7,CRY,1085,1100,1100,1140,1
2022-23,23,8,EVE,1055,1095,1080,1100,1
2022-23,23,9,FUL,1095,1100,1075,1100,1
2022-23,23,10,LEI,1130,1115,1130,1130,1
2022-23,23,11,LEE,1100,1090,1100,1100,1
2022-23,23,12,LIV,1220,1275,1300,1350,1
2022-23,23,13,MCI,1350,1360,1350,1370,1
2022-23,23,14,MUN,1155,1220,1150,1220,1
2022-23,23,15,NEW,1210,1260,1160,1210,1
2022-23,23,16,NFO,1050,1100,1045,1080,1
2022-23,23,17,SOU,1065,1070,1090,1100,1
2022-23,23,18,TOT,1155,1220,1190,1230,1
2022-23,23,19,WHU,1100,1130,1100,1120,1
2022-23,23,20,WOL,1080,1090,1100,1100,1
