season,cap_gate,gw,movement,player_id,web_name,position,club_transition,n_comp,recent4,demotion,demoted,ctrl_p_start,treat_p_start,p_start_delta,ctrl_mu,treat_mu,actual_minutes,blank,actual_points
2023-24,PASS,1,left,396,Rashford,MID,0,0,0,none,0,0.72,0.72,0.0,3.1624,3.1624,87.0,0,3.0
2023-24,PASS,1,entered,349,De Bruyne,MID,0,0,0,none,0,0.72,0.72,0.0,3.3796,3.3796,22.0,0,1.0
2023-24,PASS,1,entered,398,Shaw,DEF,0,0,0,none,0,0.45,0.45,0.0,1.6968,1.6968,90.0,0,5.0
2023-24,PASS,2,left,664,Ward-Prowse,MID,1,4,0,cap_0.48,1,0.85,0.48,-0.37,3.16,1.9108,80.0,0,9.0
2023-24,PASS,2,left,236,Olise,MID,1,4,0,cap_0.48,1,0.85,0.48,-0.37,3.2504,1.8684,0.0,1,0.0
2023-24,PASS,2,left,308,Salah,MID,1,2,0,cap_0.48,1,0.72,0.48,-0.24,4.0084,2.8124,85.0,0,5.0
2023-24,PASS,2,entered,8,G.Jesus,FWD,0,0,0,none,0,0.82,0.82,0.0,2.9896,2.9896,0.0,1,0.0
2023-24,PASS,2,entered,373,B.Fernandes,MID,0,0,0,none,0,0.72,0.72,0.0,3.1248,3.1248,90.0,0,1.0
2023-24,PASS,2,entered,526,Bowen,MID,0,0,0,none,0,0.72,0.72,0.0,2.6012,2.6012,90.0,0,2.0
2023-24,PASS,3,left,355,Haaland,FWD,0,0,0,none,0,0.72,0.72,0.0,3.7232,3.7232,90.0,0,4.0
2023-24,PASS,3,left,290,Alexander-Arnold,DEF,1,2,0,cap_0.48,1,0.72,0.48,-0.24,2.2604,1.6328,90.0,0,1.0
2023-24,PASS,3,left,259,McNeil,MID,1,3,0,cap_0.48,1,0.82,0.48,-0.34,3.1248,1.8824,0.0,1,0.0
2023-24,PASS,3,left,236,Olise,MID,1,4,0,cap_0.48,1,0.85,0.48,-0.37,2.9848,1.8368,0.0,1,0.0
2023-24,PASS,3,entered,433,Wilson,FWD,0,0,0,none,0,0.72,0.72,0.0,3.0936,3.0936,18.0,0,1.0
2023-24,PASS,3,entered,195,Chilwell,DEF,1,1,0,cap_0.68,1,0.45,0.45,0.0,1.7568,1.7568,85.0,0,6.0
2023-24,PASS,3,entered,396,Rashford,MID,0,0,0,none,0,0.72,0.72,0.0,3.1272,3.1272,90.0,0,7.0
2023-24,PASS,3,entered,349,De Bruyne,MID,0,0,0,none,0,0.72,0.72,0.0,3.1564,3.1564,0.0,1,0.0
2023-24,PASS,4,left,259,McNeil,MID,1,3,0,cap_0.48,1,0.82,0.48,-0.34,2.8332,1.7468,15.0,0,1.0
2023-24,PASS,4,left,236,Olise,MID,1,4,0,cap_0.48,1,0.85,0.48,-0.37,3.1732,1.92,0.0,1,0.0
2023-24,PASS,4,entered,8,G.Jesus,FWD,0,0,0,none,0,0.72,0.72,0.0,2.564,2.564,14.0,0,6.0
2023-24,PASS,4,entered,86,Tavernier,MID,0,0,0,none,0,0.68,0.68,0.0,2.32,2.32,19.0,0,4.0
2023-24,PASS,23,left,308,Salah,MID,1,2,180,cap_0.48,1,0.68,0.48,-0.2,4.6188,3.3868,0.0,1,0.0
2023-24,PASS,23,entered,134,Gross,MID,0,0,360,none,0,0.72,0.72,0.0,3.3964,3.3964,90.0,0,11.0
2023-24,PASS,24,left,664,Ward-Prowse,MID,1,4,360,hot_skip,0,0.72,0.72,0.0,3.504,3.504,90.0,0,2.0
2023-24,PASS,24,left,308,Salah,MID,1,2,90,cap_0.48,1,0.68,0.48,-0.2,5.4672,3.888,0.0,1,0.0
2023-24,PASS,24,entered,353,Foden,MID,0,0,346,none,0,0.72,0.72,0.0,3.6564,3.6564,90.0,0,3.0
2023-24,PASS,24,entered,516,Son,MID,0,0,90,none,0,0.68,0.68,0.0,3.9268,3.9268,28.0,0,4.0
2023-24,PASS,28,left,393,Mengi,DEF,1,5,270,hot_skip,0,0.72,0.72,0.0,3.9576,3.9576,151.0,0,2.0
2023-24,PASS,28,left,308,Salah,MID,1,2,46,cap_0.48,1,0.55,0.48,-0.07,4.6592,4.0744,29.0,0,1.0
2023-24,PASS,28,entered,330,Osho,DEF,1,5,270,hot_skip,0,0.72,0.72,0.0,3.9684,3.9684,80.0,0,2.0
