season,gw,evaluation_status,player_id,web_name,position,now_cost,in_b0_xi,in_v1_xi,in_b0_squad,in_v1_squad,is_v1_captain,is_b0_captain,actual_points,v1_mu,b0_mu,v1_horizon_u,v1_p_start,horizon_flag,minutes_flag,fixture_flag,price_value_flag,captain_flag,projection_rank_flag
2025-26,5,clean,499,Isak,FWD,105,0,1,0,1,1,0,1.0,5.47,1.3,24.477,0.9,1,0,0,0,1,1
2025-26,5,clean,581,Maddison,MID,69,0,1,0,1,0,0,0.0,3.2464,0.0,16.1953,0.68,1,0,0,0,0,0
2025-26,5,clean,624,Bowen,FWD,77,1,0,1,0,0,0,9.0,1.2428,6.7,5.4711,0.28,0,0,0,0,0,1
2025-26,5,clean,674,Ramsdale,GKP,49,0,1,0,1,0,0,0.0,3.3772,0.5,16.6989,0.88,1,0,0,1,0,1
2025-26,5,clean,725,Hincapie,DEF,55,0,1,0,1,0,0,0.0,1.7352,0.0,7.5191,0.45,1,1,0,0,0,0
2025-26,6,clean,5,Gabriel,DEF,61,1,0,1,0,0,0,13.0,1.1112,6.5,5.5421,0.28,0,0,0,0,0,1
2025-26,6,clean,16,Saka,MID,98,0,1,0,1,0,0,2.0,3.2092,0.8,15.7964,0.72,1,0,0,0,0,0
2025-26,6,clean,72,Senesi,DEF,48,1,0,1,1,0,0,7.0,1.5352,6.8,7.5435,0.28,0,0,0,0,0,1
2025-26,6,clean,82,Semenyo,MID,77,1,0,1,0,0,0,7.0,1.816,8.8,8.0122,0.28,0,0,0,0,0,1
2025-26,6,clean,135,Wissa,FWD,74,0,1,0,1,1,0,0.0,4.9704,0.0,22.0885,0.9,1,0,0,0,1,0
2025-26,6,clean,227,Colwill,DEF,48,0,1,0,1,0,0,0.0,3.146,0.0,13.5668,0.9,1,0,0,1,0,0
2025-26,6,clean,235,Palmer,MID,104,0,1,0,1,0,0,0.0,3.9308,0.0,18.0636,0.72,1,0,0,0,0,0
2025-26,6,clean,260,Guéhi,DEF,47,1,0,1,1,0,0,7.0,1.3224,7.8,6.046,0.28,0,0,0,0,0,1
2025-26,6,clean,374,Konaté,DEF,55,1,0,1,0,0,0,3.0,1.0364,6.5,5.1451,0.28,0,0,0,0,0,1
2025-26,6,clean,387,Szoboszlai,MID,65,1,0,1,0,0,0,5.0,1.4396,6.5,6.5043,0.28,0,0,0,0,0,1
2025-26,6,clean,390,Gravenberch,MID,56,1,0,1,0,0,0,8.0,1.0452,8.0,5.1342,0.28,0,0,0,0,0,1
2025-26,6,clean,403,Gvardiol,DEF,58,0,1,0,1,0,0,2.0,1.852,4.0,8.201,0.45,1,1,0,0,0,0
2025-26,6,clean,414,Foden,MID,81,0,1,0,1,0,0,1.0,3.5796,5.0,16.0843,0.72,1,0,0,0,0,0
2025-26,6,clean,430,Haaland,FWD,143,1,0,1,0,0,1,16.0,2.2088,12.8,9.9423,0.28,0,0,0,0,1,1
2025-26,6,clean,437,Martinez,DEF,49,0,1,0,1,0,0,0.0,2.0608,0.0,10.326,0.68,1,0,0,1,0,0
2025-26,6,clean,485,Gordon,MID,74,0,1,0,1,0,0,3.0,3.386,1.0,14.926,0.72,1,0,0,0,0,0
2025-26,6,clean,499,Isak,FWD,105,0,1,0,1,0,0,2.0,3.3028,2.0,16.1005,0.72,1,0,0,0,0,0
2025-26,6,clean,581,Maddison,MID,69,0,1,0,1,0,0,0.0,3.7072,0.0,16.6109,0.68,1,0,0,0,0,0
2025-26,6,clean,624,Bowen,FWD,77,1,0,1,0,0,0,9.0,1.4148,7.2,6.7256,0.28,0,0,0,0,0,1
2025-26,6,clean,670,Roefs,GKP,45,1,0,1,0,0,0,10.0,3.1988,6.8,15.971,0.88,0,0,0,0,0,1
2025-26,6,clean,674,Ramsdale,GKP,49,0,1,0,1,0,0,0.0,3.6908,0.0,16.5764,0.88,1,0,0,1,0,0
2025-26,6,clean,683,Alderete,DEF,40,1,0,1,0,0,0,17.0,0.5948,9.5,4.0588,0.11,0,0,0,0,0,1
2025-26,7,clean,10,Lewis-Skelly,DEF,53,1,0,1,0,0,0,1.0,0.7144,0.0,3.3548,0.18,0,0,0,0,0,1
2025-26,7,clean,13,Clarke,DEF,39,1,0,1,0,0,0,0.0,0.4804,0.0,2.3416,0.1,0,0,0,0,0,0
2025-26,7,clean,15,Nichols,DEF,39,1,0,1,0,0,0,0.0,0.5268,0.0,2.3815,0.1,0,0,0,0,0,0
